62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1701149421.76315	+7.04,-2.3,+19.8,MB	+2.39,+267.5,+20.2,GB	+6.37,+36.3,+20.3,LA	+2.34,+275.8,+25.6,EB	+2.21,+283.1,+25.2,EB	+2.21,+283.1,+25.4,CB	
1701149483.7727044	+7.04,-2.3,+19.8,MB	+2.40,+267.4,+20.2,HB	+6.37,+36.4,+20.3,KA	+2.35,+274.9,+25.6,DB	+2.19,+284.0,+25.2,HB	+2.24,+281.3,+25.4,FB	
1701149545.7817273	+7.04,-2.2,+19.8,LB	+2.40,+267.5,+20.3,HB	+6.37,+36.4,+20.3,KA	+2.35,+275.1,+25.6,MB	+2.20,+283.3,+25.2,FB	+2.23,+281.9,+25.4,KB	
1701149607.7890592	+7.04,-2.2,+19.8,LB	+2.40,+267.5,+20.2,IB	+6.38,+36.3,+20.3,CA	+2.33,+276.0,+25.6,IB	+2.20,+283.8,+25.2,MB	+2.24,+281.3,+25.4,FB	
1701149669.7972207	+7.04,-2.2,+19.7,CB	+2.40,+267.4,+20.2,HB	+6.38,+36.3,+20.3,CA	+2.34,+275.3,+25.5,MB	+2.19,+283.9,+25.2,FB	+2.23,+282.0,+25.4,AB	
1701149731.8043485	+7.04,-2.1,+19.7,@B	+2.40,+267.5,+20.3,HB	+6.37,+36.3,+20.3,LA	+2.36,+274.6,+25.5,KB	+2.21,+283.2,+25.2,FB	+2.22,+282.6,+25.4,FB	
1701149793.8097417	+7.04,-2.2,+19.8,LB	+2.40,+267.5,+20.2,IB	+6.37,+36.4,+20.3,KA	+2.34,+275.4,+25.6,IB	+2.19,+283.9,+25.2,FB	+2.24,+281.5,+25.4,@B	
1701149855.8166864	+7.04,-2.1,+19.8,OB	+2.39,+267.5,+20.2,GB	+6.37,+36.3,+20.3,LA	+2.35,+275.0,+25.5,OB	+2.21,+283.2,+25.2,FB	+2.22,+282.5,+25.3,BB	
1701149917.8260596	+7.04,-2.1,+19.8,OB	+2.39,+267.5,+20.3,FB	+6.37,+36.4,+20.3,KA	+2.37,+274.1,+25.6,NB	+2.20,+283.5,+25.2,@B	+2.21,+283.0,+25.3,EB	
1701149979.8330452	+7.04,-2.2,+19.8,LB	+2.40,+267.5,+20.3,HB	+6.37,+36.4,+20.3,KA	+2.35,+275.1,+25.5,NB	+2.21,+283.2,+25.2,FB	+2.22,+282.3,+25.4,CB	
1701150041.8435187	+7.04,-2.4,+19.8,JB	+2.40,+267.5,+20.2,IB	+6.37,+36.4,+20.3,KA	+2.34,+275.6,+25.6,KB	+2.20,+283.4,+25.2,AB	+2.23,+281.7,+25.4,EB	
1701150103.851498	+7.04,-2.3,+19.8,MB	+2.39,+267.5,+20.3,FB	+6.37,+36.4,+20.3,KA	+2.34,+275.5,+25.6,HB	+2.20,+283.7,+25.2,BB	+2.24,+281.4,+25.3,FB	
1701150165.858898	+7.04,-2.2,+19.8,LB	+2.40,+267.5,+20.2,IB	+6.37,+36.4,+20.3,KA	+2.36,+274.2,+25.6,LB	+2.20,+283.6,+25.2,CB	+2.21,+283.1,+25.4,CB	
1701150227.8689158	+7.04,-2.3,+19.8,MB	+2.40,+267.5,+20.2,IB	+6.37,+36.4,+20.3,KA	+2.36,+274.4,+25.6,JB	+2.20,+283.5,+25.2,@B	+2.21,+283.0,+25.4,BB	
1701150289.8777175	+7.04,-2.4,+19.8,JB	+2.39,+267.5,+20.2,GB	+6.37,+36.4,+20.3,KA	+2.34,+275.4,+25.5,JB	+2.20,+283.7,+25.2,BB	+2.24,+281.4,+25.3,FB	
1701150351.88768	+7.04,-2.3,+19.8,MB	+2.40,+267.5,+20.2,IB	+6.37,+36.4,+20.3,KA	+2.36,+274.1,+25.5,LB	+2.20,+283.6,+25.2,CB	+2.21,+283.0,+25.4,BB	
1701150413.8966517	+7.04,-2.2,+19.8,LB	+2.39,+267.5,+20.3,FB	+6.37,+36.4,+20.3,KA	+2.35,+274.8,+25.5,FB	+2.20,+283.3,+25.2,FB	+2.22,+282.8,+25.4,HB	
1701150475.904842	+7.04,-2.1,+19.8,OB	+2.39,+267.5,+20.2,GB	+6.37,+36.4,+20.3,KA	+2.35,+275.0,+25.5,OB	+2.20,+283.8,+25.2,MB	+2.23,+281.7,+25.4,EB	
1701150537.9113693	+7.04,-2.1,+19.8,OB	+2.40,+267.5,+20.2,IB	+6.37,+36.3,+20.3,LA	+2.35,+274.8,+25.5,FB	+2.19,+283.9,+25.2,FB	+2.23,+282.0,+25.4,AB	
1701150599.9196007	+7.03,-2.0,+19.8,IB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.3,JA	+2.34,+275.5,+25.6,HB	+2.20,+283.4,+25.2,AB	+2.24,+281.5,+25.3,GB	
1701150661.9310827	+7.04,-2.1,+19.8,OB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.3,JA	+2.36,+274.4,+25.6,JB	+2.20,+283.7,+25.2,BB	+2.21,+283.2,+25.4,@B	
1701150723.9417722	+7.03,-1.8,+19.8,BB	+2.40,+267.5,+20.2,IB	+6.37,+36.4,+20.3,KA	+2.35,+275.3,+25.6,OB	+2.20,+283.3,+25.2,FB	+2.22,+282.5,+25.4,EB	
1701150785.9521005	+7.03,-1.8,+19.8,BB	+2.40,+267.5,+20.2,IB	+6.37,+36.5,+20.3,JA	+2.35,+274.9,+25.6,DB	+2.20,+283.8,+25.2,MB	+2.23,+282.0,+25.4,AB	
1701150847.9624858	+7.00,-0.2,+19.8,JB	+2.40,+267.5,+20.2,IB	+6.37,+36.4,+20.3,KA	+2.34,+275.4,+25.6,IB	+2.20,+283.5,+25.2,@B	+2.24,+281.5,+25.3,GB	
1701150909.9721696	+7.03,-1.8,+19.8,BB	+2.40,+267.5,+20.3,HB	+6.37,+36.5,+20.3,JA	+2.34,+275.4,+25.6,IB	+2.20,+283.4,+25.2,AB	+2.24,+281.5,+25.4,@B	
1701150971.9823136	+7.03,-1.9,+19.8,CB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.3,JA	+2.35,+275.0,+25.6,LB	+2.20,+283.7,+25.2,BB	+2.23,+281.9,+25.4,KB	
1701151033.9912343	+7.03,-1.9,+19.8,CB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.3,JA	+2.35,+275.1,+25.6,MB	+2.20,+283.5,+25.2,@B	+2.24,+281.6,+25.4,CB	
1701151096.0007281	+7.03,-2.0,+19.8,IB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.3,JA	+2.35,+274.8,+25.6,EB	+2.20,+283.7,+25.2,BB	+2.23,+282.1,+25.4,@B	
1701151341.5913193	+7.03,-1.9,+19.8,CB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.3,JA	+2.34,+275.5,+25.6,HB	+2.20,+283.7,+25.2,BB	+2.23,+281.9,+25.3,LB	
1701151403.6019857	+7.03,-2.0,+19.8,IB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.3,JA	+2.34,+275.8,+25.6,EB	+2.21,+283.2,+25.2,FB	+2.21,+283.1,+25.3,DB	
1701151465.6104095	+7.03,-2.0,+19.8,IB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.3,JA	+2.36,+274.7,+25.5,JB	+2.20,+283.8,+25.2,MB	+2.23,+282.2,+25.4,CB	
1701151527.6192439	+7.03,-1.8,+19.8,BB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.3,JA	+2.34,+275.6,+25.6,KB	+2.19,+283.9,+25.2,FB	+2.24,+281.6,+25.4,CB	
1701151589.6287057	+7.03,-1.9,+19.8,CB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.3,JA	+2.35,+275.0,+25.6,LB	+2.20,+283.6,+25.2,CB	+2.22,+282.5,+25.4,EB	
1701151651.6355696	+7.03,-1.8,+19.8,BB	+2.40,+267.5,+20.2,IB	+6.37,+36.5,+20.3,JA	+2.34,+275.3,+25.6,NB	+2.19,+284.1,+25.2,IB	+2.24,+281.5,+25.4,@B	
1701151713.6440632	+7.03,-1.8,+19.8,BB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.3,JA	+2.35,+274.9,+25.6,DB	+2.21,+283.2,+25.2,FB	+2.21,+283.2,+25.4,@B	
1701151775.65153	+7.03,-1.9,+19.8,CB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.2,KA	+2.36,+274.2,+25.6,LB	+2.19,+283.9,+25.2,FB	+2.23,+281.8,+25.3,MB	
1701151837.6603343	+7.03,-1.9,+19.8,CB	+2.39,+267.5,+20.2,GB	+6.37,+36.6,+20.2,HA	+2.36,+274.2,+25.6,LB	+2.19,+283.9,+25.2,FB	+2.23,+281.8,+25.4,JB	
1701151899.6687603	+7.03,-1.9,+19.8,CB	+2.39,+267.5,+20.2,GB	+6.37,+36.6,+20.3,IA	+2.36,+274.6,+25.6,HB	+2.19,+284.0,+25.2,HB	+2.24,+281.5,+25.4,@B	
1701151961.6763983	+7.03,-1.9,+19.8,CB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.2,KA	+2.35,+275.3,+25.6,OB	+2.20,+283.7,+25.2,BB	+2.22,+282.4,+25.4,DB	
1701152023.6867623	+7.03,-2.0,+19.8,IB	+2.40,+267.5,+20.2,IB	+6.37,+36.6,+20.3,IA	+2.35,+274.8,+25.6,EB	+2.19,+284.1,+25.2,IB	+2.24,+281.6,+25.4,CB	
1701152085.6952286	+7.04,-2.2,+19.8,LB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.2,KA	+2.36,+274.4,+25.6,JB	+2.20,+283.3,+25.2,FB	+2.21,+283.1,+25.3,DB	
1701152147.7035627	+7.04,-2.2,+19.8,LB	+2.39,+267.5,+20.2,GB	+6.37,+36.5,+20.2,KA	+2.36,+274.6,+25.6,HB	+2.19,+284.1,+25.2,IB	+2.24,+281.5,+25.4,@B	
1701152209.71073	+7.04,-2.2,+19.8,LB	+2.39,+267.5,+20.2,GB	+6.37,+36.6,+20.3,IA	+2.37,+274.0,+25.6,OB	+2.20,+283.7,+25.2,BB	+2.23,+281.7,+25.3,BB	
1701152271.7201228	+7.03,-1.9,+19.8,CB	+2.39,+267.6,+20.2,DB	+6.37,+36.6,+20.2,HA	+2.36,+274.6,+25.6,HB	+2.20,+283.4,+25.2,AB	+2.21,+283.0,+25.4,BB	
1701152333.7290156	+7.03,-1.8,+19.7,MB	+2.39,+267.5,+20.2,GB	+6.37,+36.6,+20.3,IA	+2.37,+274.0,+25.6,OB	+2.20,+283.3,+25.2,FB	+2.22,+282.5,+25.4,EB	
1701152395.7373343	+7.03,-1.7,+19.8,MB	+2.39,+267.6,+20.3,EB	+6.37,+36.6,+20.2,HA	+2.35,+275.3,+25.6,OB	+2.19,+284.1,+25.2,IB	+2.23,+281.9,+25.4,KB	
1701152457.7450268	+7.03,-1.7,+19.8,MB	+2.39,+267.5,+20.2,GB	+6.37,+36.6,+20.2,HA	+2.36,+274.7,+25.6,IB	+2.20,+283.5,+25.2,@B	+2.21,+283.2,+25.4,@B	
1701152519.7520216	+7.03,-1.9,+19.8,CB	+2.39,+267.6,+20.2,DB	+6.37,+36.6,+20.2,HA	+2.35,+275.0,+25.6,LB	+2.19,+283.9,+25.2,FB	+2.22,+282.7,+25.4,GB	
1701152581.7615237	+7.03,-1.9,+19.8,CB	+2.39,+267.5,+20.2,GB	+6.37,+36.6,+20.2,HA	+2.37,+273.8,+25.6,@B	+2.20,+283.3,+25.2,FB	+2.21,+283.0,+25.3,EB	
1701152643.7717288	+7.03,-1.8,+19.8,BB	+2.39,+267.5,+20.2,GB	+6.37,+36.6,+20.2,HA	+2.35,+274.8,+25.6,EB	+2.19,+283.8,+25.2,GB	+2.21,+282.8,+25.3,LB	
1701152705.7808375	+7.03,-1.8,+19.8,BB	+2.39,+267.6,+20.2,DB	+6.37,+36.6,+20.2,HA	+2.37,+273.6,+25.5,MB	+2.20,+283.3,+25.2,FB	+2.22,+282.4,+25.4,DB	
1701152767.790851	+7.04,-2.0,+19.8,NB	+2.39,+267.5,+20.2,GB	+6.37,+36.6,+20.2,HA	+2.37,+274.1,+25.6,NB	+2.20,+283.5,+25.2,@B	+2.23,+281.7,+25.3,BB	
1701152829.7974637	+7.04,-2.1,+19.8,OB	+2.39,+267.5,+20.2,GB	+6.37,+36.6,+20.2,HA	+2.37,+273.7,+25.6,OB	+2.20,+283.3,+25.2,FB	+2.22,+282.7,+25.4,GB	
1701152891.8070974	+7.03,-2.0,+19.8,IB	+2.39,+267.6,+20.2,DB	+6.37,+36.7,+20.2,IA	+2.37,+273.8,+25.6,@B	+2.20,+283.4,+25.2,AB	+2.22,+282.8,+25.4,HB	
1701152953.8145456	+7.03,-2.0,+19.8,IB	+2.39,+267.6,+20.2,DB	+6.37,+36.6,+20.2,HA	+2.35,+274.9,+25.6,DB	+2.19,+284.1,+25.2,IB	+2.22,+282.6,+25.4,FB	
1701153015.823453	+7.03,-1.8,+19.8,BB	+2.39,+267.6,+20.3,EB	+6.37,+36.7,+20.2,IA	+2.36,+274.2,+25.6,LB	+2.20,+283.8,+25.2,MB	+2.21,+283.1,+25.4,CB	
1701153077.8325179	+7.03,-1.8,+19.8,BB	+2.39,+267.5,+20.2,GB	+6.37,+36.6,+20.2,HA	+2.37,+273.9,+25.6,AB	+2.20,+283.3,+25.2,FB	+2.22,+282.3,+25.4,CB	
1701153139.8445935	+7.03,-1.7,+19.8,MB	+2.39,+267.5,+20.2,GB	+6.37,+36.7,+20.2,IA	+2.35,+275.2,+25.6,NB	+2.19,+284.1,+25.2,IB	+2.22,+282.4,+25.4,DB	
1701153201.853452	+7.03,-1.8,+19.8,BB	+2.39,+267.6,+20.2,DB	+6.37,+36.7,+20.2,IA	+2.36,+274.3,+25.6,MB	+2.20,+283.3,+25.2,FB	+2.23,+282.0,+25.3,FB	
1701153263.8606458	+7.03,-1.6,+19.8,LB	+2.39,+267.5,+20.2,GB	+6.37,+36.7,+20.2,IA	+2.37,+274.0,+25.5,LB	+2.20,+283.6,+25.2,CB	+2.21,+283.0,+25.3,EB	
1701153325.8692634	+7.03,-1.7,+19.8,MB	+2.39,+267.6,+20.2,DB	+6.37,+36.7,+20.2,IA	+2.36,+274.5,+25.5,HB	+2.20,+283.3,+25.2,FB	+2.23,+281.8,+25.3,MB	
1701153387.8782349	+7.03,-1.7,+19.8,MB	+2.39,+267.6,+20.2,DB	+6.37,+36.7,+20.2,IA	+2.35,+274.9,+25.6,DB	+2.20,+283.4,+25.2,AB	+2.24,+281.6,+25.4,CB	
1701153449.8873959	+7.03,-1.9,+19.8,CB	+2.39,+267.6,+20.2,DB	+6.37,+36.8,+20.2,FA	+2.35,+275.1,+25.6,MB	+2.19,+284.1,+25.2,IB	+2.22,+282.5,+25.4,EB	
1701153511.895068	+7.03,-1.8,+19.8,BB	+2.39,+267.5,+20.2,GB	+6.37,+36.8,+20.2,FA	+2.36,+274.3,+25.6,MB	+2.19,+284.0,+25.2,HB	+2.21,+283.2,+25.4,@B	
1701153573.9041865	+7.03,-1.7,+19.8,MB	+2.39,+267.5,+20.2,GB	+6.37,+36.8,+20.2,FA	+2.37,+274.1,+25.6,NB	+2.20,+283.6,+25.2,CB	+2.22,+282.6,+25.4,FB	
1701153635.9143953	+7.03,-1.7,+19.8,MB	+2.39,+267.5,+20.2,GB	+6.37,+36.7,+20.2,IA	+2.34,+275.4,+25.5,JB	+2.20,+283.7,+25.2,BB	+2.23,+281.8,+25.3,MB	
1701153697.9242237	+7.03,-1.6,+19.8,LB	+2.39,+267.6,+20.2,DB	+6.37,+36.8,+20.2,FA	+2.34,+275.5,+25.6,HB	+2.20,+283.8,+25.2,MB	+2.23,+281.9,+25.4,KB	
1701153759.932361	+7.03,-1.6,+19.8,LB	+2.39,+267.6,+20.2,DB	+6.37,+36.8,+20.2,FA	+2.35,+275.3,+25.5,LB	+2.19,+283.9,+25.2,FB	+2.23,+282.0,+25.4,AB	
1701153821.9404078	+7.03,-1.7,+19.8,MB	+2.39,+267.6,+20.2,DB	+6.37,+36.8,+20.2,FA	+2.37,+274.1,+25.6,NB	+2.20,+283.6,+25.2,CB	+2.22,+282.7,+25.4,GB	
1701153883.9498537	+7.03,-1.7,+19.8,MB	+2.39,+267.5,+20.2,GB	+6.37,+36.7,+20.2,IA	+2.35,+275.1,+25.6,MB	+2.19,+283.9,+25.2,FB	+2.22,+282.3,+25.4,CB	
1701153945.9595945	+7.03,-1.8,+19.7,MB	+2.39,+267.6,+20.2,DB	+6.37,+36.7,+20.2,IA	+2.36,+274.3,+25.6,MB	+2.20,+283.6,+25.2,CB	+2.22,+282.5,+25.4,EB	
1701154007.9670737	+7.03,-1.6,+19.7,CB	+2.39,+267.6,+20.2,DB	+6.37,+36.8,+20.2,FA	+2.35,+274.9,+25.6,DB	+2.20,+283.3,+25.2,FB	+2.23,+281.7,+25.4,EB	
1701154069.9764097	+7.03,-1.7,+19.8,MB	+2.39,+267.6,+20.2,DB	+6.37,+36.8,+20.2,FA	+2.36,+274.3,+25.6,MB	+2.20,+283.7,+25.2,BB	+2.22,+282.6,+25.4,FB	
1701154131.9826167	+7.03,-1.6,+19.8,LB	+2.39,+267.6,+20.2,DB	+6.37,+36.8,+20.2,FA	+2.34,+275.4,+25.6,IB	+2.20,+283.4,+25.2,AB	+2.23,+281.7,+25.4,EB	
1701154193.99146	+7.03,-1.5,+19.8,OB	+2.39,+267.6,+20.2,DB	+6.37,+36.8,+20.2,FA	+2.36,+274.3,+25.5,NB	+2.19,+284.1,+25.2,IB	+2.21,+283.2,+25.4,@B	
1701154255.9998274	+7.02,-1.4,+19.8,OB	+2.39,+267.6,+20.2,DB	+6.37,+36.8,+20.2,FA	+2.36,+274.4,+25.6,JB	+2.19,+283.9,+25.2,FB	+2.22,+282.7,+25.4,GB	
1701154318.007755	+7.03,-1.5,+19.8,OB	+2.39,+267.6,+20.2,DB	+6.37,+36.8,+20.2,FA	+2.34,+275.4,+25.6,IB	+2.20,+283.4,+25.2,AB	+2.23,+281.7,+25.4,EB	
1701154380.0153475	+7.03,-1.6,+19.8,LB	+2.39,+267.6,+20.2,DB	+6.37,+36.8,+20.2,FA	+2.35,+275.2,+25.5,MB	+2.20,+283.5,+25.2,@B	+2.23,+281.8,+25.4,JB	
1701154442.0249982	+7.03,-1.5,+19.7,@B	+2.39,+267.6,+20.2,DB	+6.37,+36.8,+20.2,FA	+2.36,+274.4,+25.5,IB	+2.20,+283.8,+25.2,MB	+2.23,+282.2,+25.4,CB	
