62309060476	62309060477	62309060478	62309060479	62309060481	62309060482	
1700414963.7682424	+6.52,+17.5,+21.9,AA	+6.37,+31.0,+21.8,BA	+6.49,+25.5,+21.9,JA	+6.74,+12.0,+20.3,NA	+2.45,+258.4,+21.0,BB	+6.96,+0.8,+20.2,HB	
1700415025.7760613	+6.52,+17.5,+21.9,AA	+6.37,+31.1,+21.8,CA	+6.50,+25.5,+21.9,BA	+6.74,+12.1,+20.2,NA	+2.45,+258.4,+21.0,BB	+6.96,+0.7,+20.2,GB	
1700415087.7836142	+6.52,+17.5,+21.9,AA	+6.37,+30.9,+21.8,JA	+6.49,+25.6,+21.9,IA	+6.74,+12.1,+20.2,NA	+2.45,+258.6,+21.0,@B	+6.96,+0.7,+20.2,GB	
1700415149.7913182	+6.52,+17.5,+21.9,AA	+6.37,+31.0,+21.8,BA	+6.49,+25.5,+21.9,JA	+6.74,+12.0,+20.2,OA	+2.45,+258.6,+21.0,@B	+6.96,+0.7,+20.2,GB	
1700415211.7988045	+6.52,+17.5,+21.9,AA	+6.37,+31.1,+21.8,CA	+6.49,+25.5,+21.9,JA	+6.74,+12.0,+20.3,NA	+2.45,+258.6,+21.0,@B	+6.96,+0.7,+20.2,GB	
1700415273.807801	+6.52,+17.5,+21.9,AA	+6.37,+31.1,+21.8,CA	+6.50,+25.5,+21.9,BA	+6.74,+12.0,+20.2,OA	+2.45,+258.6,+21.0,@B	+6.96,+0.5,+20.2,EB	
1700415335.8132997	+6.52,+17.5,+21.9,AA	+6.37,+31.0,+21.8,BA	+6.50,+25.5,+21.9,BA	+6.74,+12.1,+20.2,NA	+2.45,+258.4,+21.0,BB	+6.96,+0.6,+20.2,FB	
1700415397.8223724	+6.52,+17.5,+21.9,AA	+6.37,+31.1,+21.8,CA	+6.49,+25.5,+21.9,JA	+6.74,+12.0,+20.2,OA	+2.45,+258.4,+21.1,CB	+6.96,+0.7,+20.2,GB	
1700415459.8316352	+6.52,+17.5,+21.9,AA	+6.37,+31.1,+21.8,CA	+6.50,+25.5,+21.9,BA	+6.74,+12.0,+20.2,OA	+2.46,+258.1,+21.0,DB	+6.96,+0.6,+20.2,FB	
1700415521.8406475	+6.52,+17.6,+21.9,BA	+6.37,+31.0,+21.8,BA	+6.49,+25.5,+21.9,JA	+6.74,+12.0,+20.2,OA	+2.46,+258.2,+21.0,GB	+6.96,+0.6,+20.2,FB	
1700415583.8492332	+6.52,+17.5,+21.9,AA	+6.37,+31.1,+21.8,CA	+6.50,+25.5,+21.9,BA	+6.74,+12.1,+20.2,NA	+2.46,+258.2,+21.0,GB	+6.96,+0.7,+20.2,GB	
1700415645.8567219	+6.52,+17.6,+21.9,BA	+6.37,+31.0,+21.8,BA	+6.49,+25.5,+21.9,JA	+6.74,+12.2,+20.2,MA	+2.45,+258.4,+21.0,BB	+6.96,+0.7,+20.2,GB	
1700415707.8644073	+6.52,+17.5,+21.8,@A	+6.37,+31.0,+21.8,BA	+6.50,+25.5,+21.9,BA	+6.74,+12.3,+20.2,LA	+2.45,+258.5,+21.0,CB	+6.96,+0.6,+20.2,FB	
1700415769.869995	+6.52,+17.5,+21.9,AA	+6.37,+31.0,+21.8,BA	+6.49,+25.5,+21.9,JA	+6.74,+12.2,+20.2,MA	+2.45,+258.6,+21.0,@B	+6.96,+0.6,+20.2,FB	
1700415831.8785439	+6.52,+17.5,+21.9,AA	+6.37,+31.0,+21.8,BA	+6.49,+25.5,+21.9,JA	+6.74,+12.1,+20.2,NA	+2.45,+258.5,+21.0,CB	+6.96,+0.6,+20.2,FB	
1700415893.886974	+6.52,+17.5,+21.9,AA	+6.37,+31.0,+21.8,BA	+6.49,+25.5,+21.9,JA	+6.75,+11.8,+20.2,EA	+2.46,+258.2,+21.0,GB	+6.96,+0.6,+20.2,FB	
1700415955.8965895	+6.52,+17.5,+21.8,@A	+6.37,+31.0,+21.8,BA	+6.49,+25.5,+21.9,JA	+6.75,+11.9,+20.2,DA	+2.46,+258.1,+21.0,DB	+6.96,+0.5,+20.2,EB	
1700416017.9046369	+6.52,+17.5,+21.9,AA	+6.37,+31.0,+21.7,MA	+6.50,+25.5,+21.9,BA	+6.75,+11.8,+20.2,EA	+2.46,+257.9,+21.0,CB	+6.96,+0.7,+20.2,GB	
1700416079.9135506	+6.52,+17.5,+21.9,AA	+6.37,+31.0,+21.8,BA	+6.50,+25.5,+21.9,BA	+6.74,+11.9,+20.2,EA	+2.47,+257.6,+21.0,MB	+6.96,+0.5,+20.2,EB	
