62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1701627536.2100081	0.000	178.948	8.026	65.407	97.772	95.611	
1701631378.275236	0.000	179.024	8.180	65.436	97.820	95.529	
1701635220.3661938	0.000	179.247	8.245	65.507	97.916	95.710	
1701639062.4563863	0.000	179.433	8.191	65.483	97.915	95.812	
1701642904.4732528	0.000	179.651	8.164	65.553	98.071	95.950	
1701646746.5622718	0.000	180.315	8.234	65.802	98.316	96.077	
1701650588.6732283	0.000	181.228	8.256	66.152	98.817	96.636	
1701654430.6952276	0.000	181.651	8.307	66.184	99.015	96.863	
1701658272.8113594	0.000	181.594	8.341	66.170	99.002	96.756	
1701662114.9062557	0.000	181.206	8.555	65.968	98.752	96.402	
1701665956.9720044	0.000	180.758	8.549	65.764	98.468	96.154	
