62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1699982972.7985334	+3.06,+228.3,+19.3,LB	+3.04,+229.6,+19.9,@B	+3.04,+229.8,+19.9,NB	+3.02,+235.4,+25.6,IB	+2.77,+250.1,+25.2,HB	+2.89,+243.1,+25.4,MB	
1699983034.8082035	+3.06,+228.3,+19.3,LB	+3.04,+229.6,+19.8,AB	+3.04,+229.8,+19.9,NB	+3.03,+235.0,+25.5,OB	+2.77,+249.9,+25.2,HB	+2.90,+242.6,+25.4,CB	
1699983096.81895	+3.06,+228.2,+19.3,MB	+3.04,+229.6,+19.9,@B	+3.04,+229.9,+19.9,OB	+3.01,+235.7,+25.5,JB	+2.77,+250.1,+25.2,HB	+2.91,+241.9,+25.4,NB	
1699983342.3848279	+3.06,+228.2,+19.3,MB	+3.04,+229.6,+19.8,AB	+3.04,+229.8,+19.9,NB	+3.02,+235.5,+25.6,HB	+2.77,+249.9,+25.2,HB	+2.90,+242.4,+25.4,AB	
1699983404.3965776	+3.06,+228.3,+19.3,LB	+3.04,+229.6,+19.8,AB	+3.04,+229.8,+19.9,NB	+3.02,+235.3,+25.5,MB	+2.76,+250.3,+25.2,KB	+2.91,+241.6,+25.4,AB	
1699983466.4035761	+3.06,+228.3,+19.3,LB	+3.04,+229.6,+19.8,AB	+3.04,+229.8,+19.9,NB	+3.01,+236.2,+25.6,OB	+2.76,+250.3,+25.2,KB	+2.89,+243.2,+25.4,NB	
1699983528.4118626	+3.06,+228.2,+19.3,MB	+3.04,+229.6,+19.8,AB	+3.04,+229.8,+19.9,NB	+3.01,+235.8,+25.6,FB	+2.77,+250.1,+25.2,HB	+2.89,+242.8,+25.3,BB	
1699983590.421453	+3.06,+228.2,+19.3,MB	+3.04,+229.6,+19.8,AB	+3.04,+229.8,+19.9,NB	+3.01,+236.2,+25.5,LB	+2.76,+250.2,+25.2,JB	+2.89,+243.1,+25.4,MB	
1699983652.4301538	+3.06,+228.2,+19.3,MB	+3.04,+229.6,+19.8,AB	+3.04,+229.8,+19.9,NB	+3.00,+236.3,+25.6,OB	+2.76,+250.4,+25.2,LB	+2.89,+243.1,+25.4,MB	
1699983714.4393823	+3.06,+228.2,+19.3,MB	+3.04,+229.6,+19.8,AB	+3.04,+229.8,+19.9,NB	+3.02,+235.5,+25.6,HB	+2.76,+250.7,+25.2,OB	+2.91,+241.8,+25.3,HB	
1699983776.4489067	+3.06,+228.2,+19.3,MB	+3.04,+229.6,+19.8,AB	+3.04,+229.8,+19.9,NB	+3.01,+236.0,+25.5,NB	+2.76,+250.7,+25.2,OB	+2.90,+242.5,+25.4,@B	
1699983838.4569054	+3.06,+228.2,+19.3,MB	+3.04,+229.6,+19.8,AB	+3.04,+229.8,+19.9,NB	+3.03,+235.1,+25.6,MB	+2.76,+250.2,+25.2,JB	+2.91,+241.7,+25.4,@B	
1699983900.4686782	+3.06,+228.2,+19.3,MB	+3.04,+229.6,+19.8,AB	+3.04,+229.8,+19.9,NB	+3.03,+235.1,+25.6,MB	+2.76,+250.2,+25.2,JB	+2.91,+241.7,+25.3,GB	
1699983962.4769735	+3.06,+228.2,+19.3,MB	+3.04,+229.6,+19.8,AB	+3.04,+229.8,+19.9,NB	+3.02,+235.6,+25.5,HB	+2.77,+250.0,+25.2,IB	+2.90,+242.4,+25.3,FB	
1699984024.487358	+3.06,+228.2,+19.3,MB	+3.04,+229.6,+19.8,AB	+3.04,+229.8,+19.9,NB	+3.01,+235.9,+25.6,GB	+2.76,+250.7,+25.2,OB	+2.90,+242.5,+25.4,@B	
