62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1701711295.851996	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.4,+19.9,EA	+2.21,+283.1,+25.5,BB	+2.10,+289.5,+25.2,IB	+2.14,+287.3,+25.4,CB	
1701711357.8599193	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.3,+19.9,BA	+2.21,+283.4,+25.6,DB	+2.09,+289.8,+25.2,LB	+2.13,+287.8,+25.4,OB	
1701711419.8686466	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.4,+19.9,EA	+2.21,+283.1,+25.6,AB	+2.10,+289.6,+25.2,JB	+2.14,+287.2,+25.4,BB	
1701711481.8791242	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.3,+19.9,BA	+2.21,+283.0,+25.6,@B	+2.10,+289.6,+25.2,JB	+2.13,+288.2,+25.4,JB	
1701711543.8863015	+6.54,+26.9,+19.3,HA	+2.32,+271.4,+20.0,HB	+6.48,+30.4,+19.9,EA	+2.23,+282.4,+25.6,GB	+2.10,+289.3,+25.2,OB	+2.12,+288.5,+25.4,LB	
1701711605.8942804	+6.54,+26.9,+19.3,HA	+2.32,+271.5,+20.0,IB	+6.48,+30.4,+19.9,EA	+2.21,+283.4,+25.6,DB	+2.09,+289.9,+25.2,MB	+2.14,+287.5,+25.4,EB	
1701711667.9024796	+6.54,+26.9,+19.3,HA	+2.32,+271.5,+20.0,IB	+6.48,+30.4,+19.9,EA	+2.21,+283.5,+25.6,EB	+2.09,+289.9,+25.2,MB	+2.14,+287.3,+25.3,DB	
1701711729.9130232	+6.54,+26.9,+19.3,HA	+2.32,+271.5,+20.0,IB	+6.48,+30.3,+19.9,BA	+2.22,+282.4,+25.6,FB	+2.11,+289.1,+25.2,LB	+2.13,+288.2,+25.4,JB	
1701711791.9212577	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.3,+19.9,BA	+2.21,+283.5,+25.5,FB	+2.09,+289.8,+25.2,LB	+2.14,+287.3,+25.4,CB	
1701711853.9296093	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.3,+19.9,BA	+2.22,+282.7,+25.6,EB	+2.10,+289.6,+25.2,JB	+2.12,+288.4,+25.4,MB	
1701711915.939181	+6.54,+26.8,+19.3,IA	+2.32,+271.6,+20.0,JB	+6.48,+30.3,+19.9,BA	+2.22,+282.7,+25.5,FB	+2.11,+289.0,+25.2,MB	+2.13,+287.9,+25.4,NB	
1701711977.9471087	+6.54,+26.9,+19.3,HA	+2.32,+271.4,+20.0,HB	+6.48,+30.3,+19.9,BA	+2.22,+282.9,+25.6,KB	+2.11,+289.0,+25.2,MB	+2.13,+287.7,+25.4,@B	
1701712039.9557455	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.3,+19.9,BA	+2.21,+283.1,+25.6,AB	+2.11,+289.1,+25.2,LB	+2.14,+287.4,+25.3,CB	
1701712285.5303195	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.3,+19.9,BA	+2.22,+282.9,+25.5,HB	+2.11,+289.1,+25.2,LB	+2.13,+287.8,+25.4,OB	
1701712347.5384653	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+20.0,HB	+6.48,+30.3,+19.9,BA	+2.22,+282.7,+25.5,FB	+2.09,+289.8,+25.2,LB	+2.14,+287.2,+25.4,BB	
1701712409.5460963	+6.54,+26.7,+19.3,FA	+2.32,+271.5,+20.0,IB	+6.48,+30.3,+19.9,BA	+2.21,+283.4,+25.5,GB	+2.09,+289.8,+25.2,LB	+2.12,+288.2,+25.4,KB	
1701712471.5550735	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.3,+19.9,BA	+2.20,+283.7,+25.6,FB	+2.10,+289.2,+25.2,NB	+2.12,+288.7,+25.4,NB	
1701712533.5647867	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.2,+19.9,CA	+2.22,+282.7,+25.5,FB	+2.10,+289.3,+25.2,OB	+2.14,+287.4,+25.4,DB	
1701712595.5736465	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.2,+19.9,CA	+2.22,+282.5,+25.6,GB	+2.10,+289.5,+25.2,IB	+2.14,+287.1,+25.4,AB	
1701712657.5823956	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.3,+19.9,BA	+2.20,+283.8,+25.6,IB	+2.10,+289.5,+25.2,IB	+2.12,+288.6,+25.4,OB	
1701712719.5873234	+6.54,+26.7,+19.3,FA	+2.32,+271.4,+20.0,HB	+6.48,+30.2,+19.9,CA	+2.22,+282.7,+25.5,FB	+2.09,+289.9,+25.2,MB	+2.14,+287.5,+25.4,EB	
1701712781.5971253	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+20.0,HB	+6.48,+30.3,+19.9,BA	+2.21,+283.4,+25.6,DB	+2.11,+289.2,+25.2,OB	+2.12,+288.2,+25.4,KB	
1701712843.6038282	+6.54,+26.7,+19.3,FA	+2.32,+271.5,+20.0,IB	+6.48,+30.2,+19.9,CA	+2.22,+282.5,+25.6,GB	+2.09,+289.8,+25.2,LB	+2.14,+287.0,+25.4,@B	
1701712905.6130786	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+19.9,JB	+6.48,+30.3,+19.9,BA	+2.22,+282.9,+25.6,KB	+2.10,+289.5,+25.2,IB	+2.14,+287.5,+25.3,BB	
1701712967.621721	+6.54,+26.8,+19.2,HA	+2.32,+271.4,+20.0,HB	+6.48,+30.3,+19.9,BA	+2.20,+283.8,+25.6,IB	+2.11,+289.1,+25.2,LB	+2.12,+288.5,+25.4,LB	
1701713029.6291404	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+19.9,JB	+6.48,+30.3,+19.9,BA	+2.20,+283.8,+25.6,IB	+2.10,+289.2,+25.2,NB	+2.12,+288.6,+25.4,OB	
1701713091.639303	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.20,+283.8,+25.5,JB	+2.11,+289.2,+25.2,OB	+2.12,+288.6,+25.4,OB	
1701713153.6497526	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.2,+19.9,CA	+2.20,+283.8,+25.5,JB	+2.10,+289.2,+25.2,NB	+2.12,+288.5,+25.4,LB	
1701713215.658806	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+20.0,HB	+6.48,+30.3,+19.9,BA	+2.20,+283.8,+25.6,IB	+2.10,+289.2,+25.2,NB	+2.12,+288.6,+25.4,OB	
1701713277.666979	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.20,+283.7,+25.6,FB	+2.10,+289.2,+25.2,NB	+2.12,+288.6,+25.3,HB	
1701713339.6761768	+6.54,+26.7,+19.3,FA	+2.32,+271.4,+20.0,HB	+6.48,+30.2,+19.9,CA	+2.22,+282.6,+25.6,DB	+2.09,+290.0,+25.2,LB	+2.15,+287.0,+25.4,AB	
1701713401.6867127	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.3,+19.9,BA	+2.21,+283.4,+25.5,GB	+2.11,+289.2,+25.2,OB	+2.12,+288.5,+25.4,LB	
1701713463.6932216	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.3,+19.9,BA	+2.20,+283.8,+25.6,IB	+2.11,+289.2,+25.2,OB	+2.12,+288.6,+25.4,OB	
1701713525.699361	+6.54,+26.7,+19.3,FA	+2.32,+271.4,+20.0,HB	+6.48,+30.2,+19.9,CA	+2.22,+282.5,+25.5,DB	+2.09,+290.0,+25.2,LB	+2.14,+287.0,+25.3,GB	
1701713587.703668	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.21,+283.2,+25.6,BB	+2.10,+289.3,+25.2,OB	+2.12,+288.3,+25.4,JB	
1701713649.713239	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.22,+282.5,+25.5,DB	+2.10,+289.7,+25.2,KB	+2.14,+287.3,+25.4,CB	
1701713711.71996	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+19.9,JB	+6.48,+30.2,+19.9,CA	+2.20,+283.7,+25.6,FB	+2.10,+289.6,+25.2,JB	+2.13,+288.1,+25.3,NB	
1701713773.7288182	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+19.9,JB	+6.48,+30.2,+19.9,CA	+2.20,+283.7,+25.6,FB	+2.10,+289.3,+25.2,OB	+2.12,+288.6,+25.4,OB	
1701713835.736318	+6.54,+26.7,+19.3,FA	+2.32,+271.4,+20.0,HB	+6.48,+30.3,+19.9,BA	+2.21,+283.0,+25.5,CB	+2.09,+290.0,+25.2,LB	+2.14,+287.1,+25.4,AB	
1701713897.7461772	+6.54,+26.7,+19.3,FA	+2.32,+271.4,+19.9,KB	+6.48,+30.3,+19.9,BA	+2.22,+282.6,+25.6,DB	+2.10,+289.5,+25.2,IB	+2.14,+287.4,+25.4,DB	
1701713959.7557762	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.3,+19.9,BA	+2.21,+283.2,+25.5,AB	+2.11,+289.1,+25.2,LB	+2.12,+288.4,+25.4,MB	
1701714021.7630327	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.3,+19.9,BA	+2.22,+282.7,+25.5,FB	+2.10,+289.4,+25.2,HB	+2.13,+287.7,+25.4,@B	
1701714083.7721434	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.21,+283.4,+25.6,DB	+2.09,+289.9,+25.2,MB	+2.14,+287.5,+25.4,EB	
1701714145.781183	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+19.9,JB	+6.48,+30.3,+19.9,BA	+2.20,+283.8,+25.6,IB	+2.10,+289.6,+25.2,JB	+2.12,+288.2,+25.4,KB	
1701714207.7907758	+6.54,+26.7,+19.3,FA	+2.32,+271.4,+20.0,HB	+6.48,+30.2,+19.9,CA	+2.22,+282.9,+25.6,KB	+2.09,+289.9,+25.2,MB	+2.15,+287.0,+25.4,AB	
1701714269.800272	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+20.0,HB	+6.48,+30.2,+19.9,CA	+2.22,+283.0,+25.5,@B	+2.10,+289.2,+25.2,NB	+2.12,+288.2,+25.4,KB	
1701714331.8106084	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+20.0,IB	+6.48,+30.2,+19.9,CA	+2.20,+283.7,+25.6,FB	+2.10,+289.7,+25.2,KB	+2.13,+288.1,+25.3,NB	
1701714393.8196983	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.20,+283.8,+25.5,JB	+2.10,+289.6,+25.2,JB	+2.12,+288.5,+25.4,LB	
1701714455.8282888	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+20.0,HB	+6.48,+30.2,+19.9,CA	+2.20,+283.7,+25.6,FB	+2.10,+289.5,+25.2,IB	+2.12,+288.6,+25.3,HB	
1701714517.836325	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.21,+283.1,+25.5,BB	+2.10,+289.3,+25.2,OB	+2.12,+288.6,+25.3,HB	
1701714579.8444986	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+19.9,JB	+6.48,+30.2,+19.9,CA	+2.20,+283.8,+25.5,JB	+2.10,+289.7,+25.2,KB	+2.12,+288.5,+25.3,KB	
1701714641.8525362	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.21,+283.2,+25.5,AB	+2.09,+289.9,+25.2,MB	+2.14,+287.3,+25.4,CB	
1701714703.8602672	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.3,+19.9,BA	+2.20,+283.6,+25.6,GB	+2.09,+289.8,+25.2,LB	+2.12,+288.3,+25.4,JB	
1701714765.8692997	+6.54,+26.7,+19.3,FA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.21,+283.4,+25.5,GB	+2.09,+289.9,+25.2,MB	+2.14,+287.5,+25.4,EB	
1701714827.8801694	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+19.9,JB	+6.48,+30.3,+19.9,BA	+2.20,+283.8,+25.5,JB	+2.09,+289.9,+25.2,MB	+2.12,+288.3,+25.4,JB	
1701714889.8893285	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.22,+282.6,+25.6,DB	+2.11,+289.1,+25.2,LB	+2.13,+288.1,+25.4,IB	
1701714951.898681	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.1,+19.9,@A	+2.22,+282.5,+25.6,GB	+2.09,+289.9,+25.2,MB	+2.13,+287.7,+25.3,GB	
1701715013.9090807	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.20,+283.7,+25.6,FB	+2.10,+289.2,+25.2,NB	+2.12,+288.6,+25.4,OB	
1701715075.9192138	+6.54,+26.7,+19.3,FA	+2.32,+271.4,+19.9,KB	+6.48,+30.3,+19.9,BA	+2.20,+283.8,+25.5,JB	+2.11,+288.9,+25.2,EB	+2.13,+287.9,+25.4,NB	
1701715137.9282124	+6.54,+26.8,+19.2,HA	+2.32,+271.4,+19.9,KB	+6.48,+30.3,+19.9,BA	+2.22,+282.7,+25.6,EB	+2.09,+289.9,+25.2,MB	+2.14,+287.4,+25.4,DB	
1701715199.935925	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.3,+19.9,BA	+2.20,+283.8,+25.6,IB	+2.10,+289.2,+25.2,NB	+2.13,+288.0,+25.4,HB	
1701715261.94548	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+19.9,JB	+6.48,+30.3,+19.9,BA	+2.21,+283.1,+25.6,AB	+2.10,+289.7,+25.2,KB	+2.14,+287.2,+25.4,BB	
1701715323.9543865	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+19.9,JB	+6.48,+30.3,+19.9,BA	+2.22,+282.6,+25.6,DB	+2.09,+289.8,+25.2,LB	+2.13,+288.0,+25.4,HB	
1701715385.9606266	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.3,+19.9,BA	+2.22,+282.6,+25.6,DB	+2.09,+289.9,+25.2,MB	+2.13,+287.9,+25.4,NB	
1701715447.9700093	+6.54,+26.8,+19.3,IA	+2.32,+271.5,+19.9,JB	+6.48,+30.2,+19.9,CA	+2.22,+282.6,+25.5,GB	+2.09,+289.9,+25.2,MB	+2.13,+287.7,+25.4,@B	
1701715509.977795	+6.54,+26.8,+19.3,IA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.22,+282.8,+25.5,IB	+2.09,+289.9,+25.2,MB	+2.14,+287.2,+25.4,BB	
1701715571.984681	+6.53,+27.0,+19.3,GA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.22,+282.8,+25.5,IB	+2.09,+290.0,+25.2,LB	+2.14,+287.3,+25.4,CB	
1701715633.991488	+6.54,+26.9,+19.3,HA	+2.32,+271.4,+19.9,KB	+6.48,+30.2,+19.9,CA	+2.22,+282.8,+25.6,JB	+2.09,+290.0,+25.2,LB	+2.14,+287.2,+25.4,BB	
1701715696.0000181	+6.54,+26.9,+19.3,HA	+2.32,+271.5,+19.9,JB	+6.48,+30.2,+19.9,CA	+2.22,+282.5,+25.6,GB	+2.09,+289.8,+25.2,LB	+2.13,+287.8,+25.4,OB	
