62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1701797803.369691	+6.56,+25.5,+19.1,GA	+2.32,+271.7,+19.8,IB	+6.49,+29.5,+19.8,LA	+2.20,+284.0,+25.5,EB	+2.09,+289.9,+25.2,MB	+2.08,+290.7,+25.4,LB	
1701797865.3768718	+6.56,+25.6,+19.1,DA	+2.32,+271.7,+19.8,IB	+6.49,+29.5,+19.7,CA	+2.21,+283.4,+25.6,DB	+2.11,+289.0,+25.2,MB	+2.06,+291.9,+25.4,MB	
1701797927.385463	+6.56,+25.6,+19.1,DA	+2.32,+271.6,+19.8,HB	+6.49,+29.6,+19.8,OA	+2.20,+283.7,+25.6,FB	+2.10,+289.7,+25.2,KB	+2.09,+290.6,+25.4,LB	
1701797989.39544	+6.56,+25.6,+19.1,DA	+2.32,+271.7,+19.8,IB	+6.49,+29.5,+19.8,LA	+2.21,+283.6,+25.5,EB	+2.11,+289.1,+25.2,LB	+2.06,+292.2,+25.4,EB	
1701798051.4042165	+6.56,+25.5,+19.1,GA	+2.32,+271.7,+19.8,IB	+6.49,+29.5,+19.7,CA	+2.19,+284.3,+25.5,LB	+2.09,+289.8,+25.2,LB	+2.08,+291.1,+25.4,KB	
1701798113.410895	+6.56,+25.6,+19.1,DA	+2.32,+271.7,+19.8,IB	+6.49,+29.6,+19.8,OA	+2.20,+283.9,+25.5,KB	+2.10,+289.4,+25.2,HB	+2.06,+292.1,+25.4,FB	
1701798175.4189932	+6.56,+25.6,+19.1,DA	+2.32,+271.7,+19.8,IB	+6.49,+29.5,+19.7,CA	+2.20,+284.1,+25.6,GB	+2.09,+289.8,+25.2,LB	+2.08,+290.6,+25.4,MB	
1701798237.4286044	+6.56,+25.5,+19.1,GA	+2.32,+271.7,+19.8,IB	+6.49,+29.5,+19.8,LA	+2.21,+283.1,+25.6,AB	+2.11,+289.0,+25.2,MB	+2.07,+291.6,+25.4,CB	
1701798299.4375374	+6.56,+25.5,+19.1,GA	+2.32,+271.7,+19.8,IB	+6.49,+29.5,+19.8,LA	+2.21,+283.3,+25.5,@B	+2.11,+289.1,+25.2,LB	+2.06,+292.1,+25.4,FB	
1701798361.4446495	+6.56,+25.5,+19.1,GA	+2.32,+271.7,+19.8,IB	+6.49,+29.4,+19.8,MA	+2.21,+283.1,+25.6,AB	+2.11,+289.0,+25.2,MB	+2.07,+291.4,+25.4,AB	
1701798423.4543035	+6.56,+25.5,+19.1,GA	+2.32,+271.7,+19.8,IB	+6.49,+29.4,+19.8,MA	+2.20,+283.9,+25.5,KB	+2.10,+289.6,+25.2,JB	+2.06,+291.9,+25.3,JB	
1701798485.4621222	+6.56,+25.5,+19.1,GA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.7,CA	+2.21,+283.2,+25.6,BB	+2.11,+289.0,+25.2,MB	+2.07,+291.2,+25.4,GB	
1701798547.4690678	+6.56,+25.5,+19.1,GA	+2.32,+271.6,+19.8,HB	+6.49,+29.4,+19.8,MA	+2.21,+283.4,+25.5,GB	+2.10,+289.3,+25.2,OB	+2.06,+292.1,+25.4,FB	
1701798609.4804535	+6.56,+25.5,+19.1,GA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.8,LA	+2.21,+283.4,+25.6,DB	+2.10,+289.3,+25.2,OB	+2.06,+292.1,+25.4,FB	
1701798671.484583	+6.56,+25.6,+19.1,DA	+2.32,+271.7,+19.8,IB	+6.49,+29.5,+19.8,LA	+2.20,+284.1,+25.5,DB	+2.09,+289.8,+25.2,LB	+2.07,+291.5,+25.4,@B	
1701798733.4927638	+6.56,+25.6,+19.1,DA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.8,LA	+2.20,+283.9,+25.5,KB	+2.10,+289.3,+25.2,OB	+2.09,+290.5,+25.4,OB	
1701798795.5009458	+6.56,+25.6,+19.1,DA	+2.32,+271.6,+19.8,HB	+6.49,+29.4,+19.8,MA	+2.19,+284.3,+25.5,LB	+2.10,+289.5,+25.2,IB	+2.08,+290.9,+25.4,BB	
1701798857.510317	+6.56,+25.5,+19.1,GA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.8,LA	+2.20,+284.1,+25.5,DB	+2.10,+289.7,+25.2,KB	+2.07,+291.6,+25.4,CB	
1701798919.5185163	+6.56,+25.5,+19.1,GA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.8,LA	+2.20,+283.9,+25.6,HB	+2.09,+289.8,+25.2,LB	+2.06,+291.9,+25.4,MB	
1701798981.52386	+6.56,+25.6,+19.1,DA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.8,LA	+2.19,+284.3,+25.6,OB	+2.10,+289.7,+25.2,KB	+2.07,+291.3,+25.4,FB	
1701799043.5318544	+6.56,+25.6,+19.1,DA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.8,LA	+2.20,+283.8,+25.5,JB	+2.11,+289.0,+25.2,MB	+2.08,+290.6,+25.4,MB	
1701799105.5407877	+6.56,+25.6,+19.1,DA	+2.32,+271.7,+19.8,IB	+6.49,+29.5,+19.8,LA	+2.20,+284.0,+25.5,EB	+2.09,+289.8,+25.2,LB	+2.07,+291.7,+25.4,BB	
1701799167.5506055	+6.56,+25.6,+19.1,DA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.8,LA	+2.20,+284.1,+25.6,GB	+2.10,+289.7,+25.2,KB	+2.07,+291.7,+25.4,BB	
1701799229.5601437	+6.56,+25.6,+19.1,DA	+2.32,+271.7,+19.8,IB	+6.49,+29.5,+19.8,LA	+2.19,+284.2,+25.5,MB	+2.10,+289.6,+25.2,JB	+2.07,+291.3,+25.4,FB	
1701799291.5676215	+6.56,+25.6,+19.1,DA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.8,LA	+2.21,+283.6,+25.6,FB	+2.11,+288.9,+25.2,EB	+2.08,+291.0,+25.4,JB	
1701799353.5729907	+6.56,+25.6,+19.1,DA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.8,LA	+2.20,+283.9,+25.5,KB	+2.10,+289.7,+25.2,KB	+2.07,+291.7,+25.4,BB	
1701799415.5816367	+6.56,+25.6,+19.1,DA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.8,LA	+2.20,+283.7,+25.5,EB	+2.11,+289.0,+25.2,MB	+2.08,+290.9,+25.4,BB	
1701799477.5897794	+6.56,+25.6,+19.1,DA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.8,LA	+2.20,+284.1,+25.5,DB	+2.10,+289.5,+25.2,IB	+2.07,+291.4,+25.4,AB	
1701799539.5998394	+6.56,+25.6,+19.1,DA	+2.32,+271.7,+19.8,IB	+6.49,+29.5,+19.8,LA	+2.19,+284.3,+25.5,LB	+2.10,+289.4,+25.2,HB	+2.08,+291.1,+25.4,KB	
1701799601.6078763	+6.56,+25.6,+19.1,DA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.7,CA	+2.19,+284.2,+25.5,MB	+2.11,+288.9,+25.2,EB	+2.08,+290.6,+25.4,MB	
1701799663.6186826	+6.56,+25.6,+19.1,DA	+2.32,+271.6,+19.8,HB	+6.49,+29.5,+19.8,LA	+2.20,+283.6,+25.5,DB	+2.10,+289.7,+25.2,KB	+2.06,+292.0,+25.4,GB	
1701799725.6282654	+6.56,+25.6,+19.1,DA	+2.32,+271.6,+19.8,HB	+6.49,+29.4,+19.7,BA	+2.20,+283.6,+25.5,DB	+2.09,+289.7,+25.2,CB	+2.06,+292.1,+25.4,FB	
1701799787.6389337	+6.56,+25.6,+19.1,DA	+2.32,+271.7,+19.8,IB	+6.49,+29.4,+19.8,MA	+2.19,+284.4,+25.6,HB	+2.11,+289.0,+25.2,MB	+2.08,+290.5,+25.4,NB	
