62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1700976528.2170105	+2.47,+263.1,+20.2,NB	+2.45,+264.4,+20.6,JB	+6.53,+27.5,+20.7,LA	+2.38,+273.5,+25.6,BB	+2.15,+286.4,+25.2,BB	+2.25,+280.6,+25.3,DB	
1700976590.222901	+2.47,+263.2,+20.2,MB	+2.46,+264.3,+20.6,NB	+6.53,+27.5,+20.6,MA	+2.37,+273.7,+25.6,OB	+2.15,+286.8,+25.2,NB	+2.25,+281.0,+25.4,DB	
1700976652.230028	+2.47,+263.1,+20.2,NB	+2.46,+264.3,+20.6,NB	+6.53,+27.6,+20.6,NA	+2.38,+273.1,+25.5,EB	+2.15,+286.7,+25.2,AB	+2.25,+280.6,+25.4,CB	
1700976714.2369864	+2.47,+263.1,+20.2,NB	+2.46,+264.3,+20.6,NB	+6.53,+27.6,+20.6,NA	+2.38,+273.4,+25.5,@B	+2.15,+286.7,+25.2,AB	+2.25,+280.6,+25.4,CB	
1700976776.2449312	+2.47,+263.2,+20.2,MB	+2.46,+264.3,+20.6,NB	+6.53,+27.6,+20.6,NA	+2.37,+273.8,+25.6,@B	+2.14,+286.8,+25.2,OB	+2.26,+280.3,+25.3,BB	
1700976838.2548869	+2.47,+263.2,+20.2,MB	+2.46,+264.3,+20.6,NB	+6.53,+27.6,+20.6,NA	+2.36,+274.3,+25.5,NB	+2.14,+287.3,+25.2,EB	+2.27,+279.8,+25.3,NB	
1700976900.2648954	+2.47,+263.1,+20.2,NB	+2.45,+264.4,+20.6,JB	+6.53,+27.6,+20.6,NA	+2.36,+274.2,+25.6,LB	+2.14,+286.9,+25.2,NB	+2.24,+281.4,+25.3,FB	
1700976962.2742355	+2.47,+263.2,+20.2,MB	+2.45,+264.4,+20.6,JB	+6.52,+27.7,+20.6,NA	+2.37,+273.7,+25.6,OB	+2.15,+286.7,+25.2,AB	+2.24,+281.4,+25.3,FB	
1700977024.2812645	+2.47,+263.1,+20.2,NB	+2.46,+264.3,+20.6,NB	+6.53,+27.6,+20.6,NA	+2.38,+273.5,+25.6,BB	+2.14,+287.1,+25.2,GB	+2.25,+280.8,+25.4,MB	
1700977086.2909348	+2.47,+263.2,+20.2,MB	+2.46,+264.3,+20.6,NB	+6.53,+27.6,+20.6,NA	+2.36,+274.2,+25.6,LB	+2.13,+287.6,+25.2,GB	+2.26,+279.9,+25.3,NB	
1700977148.295001	+2.47,+263.2,+20.2,MB	+2.46,+264.3,+20.6,NB	+6.52,+27.6,+20.6,OA	+2.37,+273.8,+25.6,@B	+2.13,+287.4,+25.2,EB	+2.26,+280.3,+25.4,EB	
1700977210.3016498	+2.47,+263.1,+20.2,NB	+2.46,+264.3,+20.6,NB	+6.53,+27.6,+20.6,NA	+2.38,+273.2,+25.6,EB	+2.14,+287.0,+25.2,FB	+2.25,+280.8,+25.4,MB	
1700977272.308457	+2.47,+263.2,+20.2,MB	+2.46,+264.4,+20.6,IB	+6.53,+27.6,+20.6,NA	+2.36,+274.1,+25.6,OB	+2.13,+287.5,+25.2,DB	+2.27,+279.8,+25.3,NB	
1700977334.317827	+2.47,+263.2,+20.2,MB	+2.46,+264.4,+20.6,IB	+6.53,+27.6,+20.6,NA	+2.36,+274.4,+25.6,JB	+2.14,+287.1,+25.2,GB	+2.26,+280.3,+25.3,BB	
1700977396.3059716	+2.47,+263.1,+20.2,NB	+2.45,+264.4,+20.6,JB	+6.53,+27.6,+20.6,NA	+2.36,+274.6,+25.6,HB	+2.14,+287.0,+25.2,FB	+2.25,+280.7,+25.3,EB	
1700977458.313888	+2.47,+263.1,+20.2,NB	+2.45,+264.4,+20.6,JB	+6.53,+27.6,+20.7,OA	+2.37,+273.7,+25.6,OB	+2.15,+286.7,+25.2,AB	+2.24,+281.6,+25.4,CB	
1700977520.3224626	+2.47,+263.2,+20.2,MB	+2.46,+264.3,+20.6,NB	+6.52,+27.6,+20.6,OA	+2.36,+274.2,+25.5,OB	+2.14,+287.3,+25.2,EB	+2.26,+280.1,+25.4,GB	
1700977582.319194	+2.47,+263.2,+20.2,MB	+2.46,+264.3,+20.6,NB	+6.53,+27.5,+20.6,MA	+2.35,+274.8,+25.6,EB	+2.15,+286.7,+25.2,AB	+2.25,+280.6,+25.4,CB	
1700977644.328304	+2.47,+263.2,+20.2,MB	+2.46,+264.3,+20.6,NB	+6.53,+27.5,+20.7,LA	+2.36,+274.2,+25.6,LB	+2.15,+286.4,+25.2,BB	+2.23,+281.7,+25.3,BB	
1700977706.3268802	+2.47,+263.2,+20.2,MB	+2.46,+264.4,+20.6,IB	+6.53,+27.6,+20.7,OA	+2.36,+274.5,+25.6,KB	+2.15,+286.4,+25.2,BB	+2.24,+281.5,+25.4,@B	
1700977768.3373888	+2.47,+263.2,+20.2,MB	+2.46,+264.4,+20.6,IB	+6.53,+27.5,+20.6,MA	+2.37,+274.0,+25.6,OB	+2.14,+287.1,+25.2,GB	+2.26,+280.4,+25.3,EB	
1700977830.3466842	+2.47,+263.2,+20.2,MB	+2.46,+264.3,+20.6,NB	+6.53,+27.6,+20.6,NA	+2.37,+274.0,+25.5,LB	+2.15,+286.4,+25.2,BB	+2.24,+281.3,+25.4,FB	
1700977892.3562334	+2.47,+263.1,+20.2,NB	+2.46,+264.4,+20.6,IB	+6.53,+27.6,+20.7,OA	+2.36,+274.3,+25.6,MB	+2.15,+286.4,+25.2,BB	+2.24,+281.4,+25.4,AB	
