62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1702186823.8916519	+6.64,+21.2,+19.9,MA	+3.03,+230.6,+20.3,OB	+6.39,+35.6,+20.4,CA	+7.98,-58.1,+25.6,DA	+2.54,+263.7,+25.2,OB	+2.59,+260.7,+25.3,@B	
1702186885.9030952	+6.63,+21.2,+19.8,KA	+3.03,+230.6,+20.3,OB	+6.39,+35.6,+20.4,CA	+7.98,-58.0,+25.6,EA	+2.53,+264.0,+25.2,HB	+2.57,+261.7,+25.3,OB	
1702186947.9124644	+6.63,+21.3,+19.9,KA	+3.03,+230.6,+20.3,OB	+6.39,+35.5,+20.4,@A	+7.98,-58.0,+25.6,EA	+2.53,+264.2,+25.2,JB	+2.56,+262.2,+25.4,OB	
1702187009.9212377	+6.63,+21.3,+19.9,KA	+3.03,+230.6,+20.3,OB	+6.39,+35.6,+20.4,CA	+7.99,-58.3,+25.5,DA	+2.54,+263.4,+25.2,LB	+2.59,+260.6,+25.4,FB	
1702187071.9300675	+6.63,+21.2,+19.8,KA	+3.03,+230.6,+20.3,OB	+6.39,+35.5,+20.4,@A	+7.99,-58.4,+25.6,@A	+2.53,+264.1,+25.2,IB	+2.57,+262.1,+25.3,JB	
1702187133.938851	+6.64,+21.2,+19.9,MA	+3.03,+230.6,+20.3,OB	+6.39,+35.6,+20.4,CA	+7.98,-58.1,+25.6,DA	+2.54,+263.8,+25.2,@B	+2.58,+261.1,+25.4,AB	
1702187195.948092	+6.63,+21.3,+19.9,KA	+3.03,+230.6,+20.3,OB	+6.39,+35.6,+20.4,CA	+8.00,-59.4,+25.6,NA	+2.53,+263.9,+25.2,FB	+2.57,+261.9,+25.4,FB	
1702187257.9580853	+6.63,+21.2,+19.9,JA	+3.03,+230.6,+20.3,OB	+6.39,+35.6,+20.4,CA	+7.99,-58.6,+25.6,BA	+2.54,+263.5,+25.2,MB	+2.58,+261.1,+25.3,FB	
1702187319.9665008	+6.64,+21.2,+19.9,MA	+3.03,+230.6,+20.3,OB	+6.39,+35.6,+20.4,CA	+8.00,-59.2,+25.6,HA	+2.54,+263.5,+25.2,MB	+2.59,+260.8,+25.4,HB	
1702187381.975669	+6.64,+21.2,+19.9,MA	+3.03,+230.6,+20.3,OB	+6.39,+35.6,+20.4,CA	+7.99,-58.8,+25.6,LA	+2.54,+263.7,+25.2,OB	+2.58,+261.1,+25.4,AB	
1702187443.9848392	+6.63,+21.2,+19.9,JA	+3.03,+230.6,+20.4,HB	+6.38,+35.8,+20.4,LA	+7.98,-58.2,+25.5,DA	+2.53,+264.1,+25.2,IB	+2.58,+261.4,+25.4,DB	
1702187505.9934757	+6.64,+21.1,+19.9,NA	+3.03,+230.6,+20.4,HB	+6.39,+35.7,+20.4,BA	+7.97,-57.6,+25.6,CA	+2.54,+263.7,+25.2,OB	+2.59,+260.7,+25.4,GB	
