62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1700587733.043972	+2.70,+249.2,+19.4,MB	+2.77,+245.6,+19.9,OB	+6.64,+20.8,+20.0,EA	+2.46,+268.4,+25.6,@B	+2.20,+283.6,+25.2,CB	+2.38,+273.0,+25.4,EB	
1700587795.051763	+2.70,+249.2,+19.4,MB	+2.77,+245.6,+19.9,OB	+6.64,+20.8,+20.0,EA	+2.47,+268.1,+25.6,DB	+2.20,+283.4,+25.2,AB	+2.39,+272.6,+25.4,CB	
1700587857.062105	+2.70,+249.2,+19.4,MB	+2.77,+245.6,+19.9,OB	+6.64,+20.8,+20.0,EA	+2.48,+267.5,+25.6,@B	+2.21,+283.2,+25.2,FB	+2.40,+272.1,+25.4,JB	
1700587919.0712025	+2.70,+249.2,+19.4,MB	+2.77,+245.6,+19.9,OB	+6.64,+20.8,+20.0,EA	+2.50,+266.4,+25.5,JB	+2.21,+283.1,+25.2,EB	+2.40,+271.6,+25.3,IB	
1700587981.0804794	+2.70,+249.2,+19.4,MB	+2.77,+245.5,+19.9,LB	+6.64,+20.8,+20.0,EA	+2.48,+267.4,+25.5,BB	+2.20,+283.7,+25.2,BB	+2.39,+272.7,+25.4,BB	
1700588043.0863872	+2.70,+249.2,+19.4,MB	+2.77,+245.5,+19.9,LB	+6.64,+20.8,+20.0,EA	+2.49,+267.0,+25.5,GB	+2.20,+283.5,+25.2,@B	+2.39,+272.3,+25.4,FB	
1700588105.0942004	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.64,+20.7,+20.0,JA	+2.49,+266.8,+25.6,MB	+2.20,+283.5,+25.2,@B	+2.40,+272.0,+25.4,KB	
1700588167.1034787	+2.70,+249.2,+19.4,MB	+2.77,+245.5,+19.9,LB	+6.64,+20.8,+20.0,EA	+2.48,+267.3,+25.5,EB	+2.20,+283.6,+25.2,CB	+2.39,+272.4,+25.4,AB	
1700588229.1141872	+2.70,+249.2,+19.4,MB	+2.77,+245.6,+19.9,OB	+6.64,+20.7,+20.0,JA	+2.47,+268.0,+25.6,EB	+2.19,+283.9,+25.2,FB	+2.38,+273.1,+25.4,DB	
1700588291.1230638	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.64,+20.8,+20.0,EA	+2.47,+267.9,+25.6,CB	+2.19,+283.9,+25.2,FB	+2.38,+273.1,+25.4,DB	
1700588353.1320436	+2.70,+249.2,+19.4,MB	+2.77,+245.6,+19.9,OB	+6.64,+20.7,+20.0,JA	+2.48,+267.1,+25.6,DB	+2.21,+283.2,+25.2,FB	+2.40,+271.7,+25.4,OB	
1700588415.1422439	+2.70,+249.2,+19.4,MB	+2.77,+245.5,+19.9,LB	+6.64,+20.7,+20.0,JA	+2.49,+266.8,+25.5,NB	+2.21,+283.2,+25.2,FB	+2.41,+271.5,+25.4,LB	
1700588477.1513643	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.64,+20.7,+20.0,JA	+2.48,+267.5,+25.6,@B	+2.20,+283.7,+25.2,BB	+2.39,+272.3,+25.3,AB	
1700588539.1609766	+2.70,+249.2,+19.4,MB	+2.77,+245.5,+19.9,LB	+6.64,+20.6,+20.0,KA	+2.48,+267.3,+25.6,FB	+2.20,+283.5,+25.2,@B	+2.40,+272.1,+25.3,MB	
1700588601.1670384	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.64,+20.6,+20.0,KA	+2.46,+268.4,+25.5,CB	+2.19,+284.0,+25.2,HB	+2.38,+273.2,+25.3,@B	
1700588663.1769767	+2.70,+249.2,+19.4,MB	+2.77,+245.6,+19.9,OB	+6.65,+20.6,+20.0,JA	+2.48,+267.6,+25.6,CB	+2.21,+283.0,+25.2,DB	+2.40,+271.7,+25.4,OB	
1700588725.186718	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.65,+20.6,+20.0,JA	+2.47,+267.8,+25.6,BB	+2.20,+283.4,+25.2,AB	+2.39,+272.5,+25.4,@B	
1700588787.1967723	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.65,+20.5,+20.0,IA	+2.47,+268.2,+25.6,GB	+2.20,+283.7,+25.2,BB	+2.38,+273.1,+25.4,DB	
1700588849.2055504	+2.70,+249.2,+19.4,MB	+2.77,+245.6,+19.9,OB	+6.65,+20.5,+20.0,IA	+2.48,+267.3,+25.6,FB	+2.21,+283.2,+25.2,FB	+2.40,+271.9,+25.4,AB	
1700588911.210986	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.65,+20.5,+20.0,IA	+2.47,+267.9,+25.5,@B	+2.20,+283.4,+25.2,AB	+2.39,+272.6,+25.3,DB	
1700588973.2205315	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.65,+20.4,+20.0,HA	+2.48,+267.6,+25.6,CB	+2.20,+283.3,+25.2,FB	+2.39,+272.2,+25.4,GB	
1700589035.226379	+2.70,+249.3,+19.4,LB	+2.77,+245.5,+19.9,LB	+6.65,+20.4,+20.0,HA	+2.48,+267.3,+25.6,FB	+2.19,+284.0,+25.2,HB	+2.39,+272.4,+25.4,AB	
1700589097.2365081	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.65,+20.4,+20.0,HA	+2.49,+267.0,+25.6,DB	+2.20,+283.7,+25.2,BB	+2.40,+271.7,+25.4,OB	
1700589159.2471387	+2.70,+249.3,+19.4,LB	+2.77,+245.5,+19.9,LB	+6.65,+20.3,+20.0,OA	+2.47,+267.7,+25.6,MB	+2.21,+283.0,+25.2,DB	+2.40,+272.1,+25.4,JB	
1700589221.2566702	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.65,+20.3,+20.0,OA	+2.47,+268.0,+25.6,EB	+2.21,+283.2,+25.2,FB	+2.39,+272.5,+25.3,GB	
1700589283.265974	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.65,+20.3,+20.0,OA	+2.47,+268.0,+25.5,FB	+2.20,+283.4,+25.2,AB	+2.38,+273.1,+25.4,DB	
1700589345.2768035	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.65,+20.3,+20.0,OA	+2.47,+268.2,+25.5,DB	+2.20,+283.5,+25.2,@B	+2.38,+273.1,+25.4,DB	
1700589407.2854607	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.65,+20.2,+20.0,NA	+2.47,+268.0,+25.6,EB	+2.20,+283.7,+25.2,BB	+2.38,+273.3,+25.4,FB	
1700589469.2935917	+2.70,+249.4,+19.4,KB	+2.77,+245.6,+19.9,OB	+6.65,+20.2,+20.0,NA	+2.47,+267.8,+25.6,BB	+2.21,+283.2,+25.2,FB	+2.39,+272.4,+25.3,FB	
1700589531.301637	+2.70,+249.3,+19.4,LB	+2.77,+245.7,+19.9,NB	+6.65,+20.2,+20.0,NA	+2.47,+268.2,+25.6,GB	+2.20,+283.3,+25.2,FB	+2.38,+272.9,+25.3,JB	
1700589593.3102531	+2.70,+249.3,+19.4,LB	+2.77,+245.6,+19.9,OB	+6.65,+20.1,+20.0,MA	+2.49,+266.7,+25.5,AB	+2.20,+283.7,+25.2,BB	+2.40,+271.9,+25.4,AB	
