62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1700674181.1456146	+2.59,+255.5,+19.4,LB	+2.67,+251.4,+19.9,IB	+6.65,+20.3,+19.9,LA	+2.48,+267.3,+25.6,FB	+2.20,+283.4,+25.2,AB	+2.33,+276.0,+25.4,KB	
1700674243.1539526	+2.59,+255.6,+19.4,OB	+2.67,+251.4,+19.9,IB	+6.65,+20.2,+19.9,MA	+2.48,+267.3,+25.6,FB	+2.20,+283.7,+25.2,BB	+2.33,+276.1,+25.4,JB	
1700674305.1616213	+2.59,+255.5,+19.4,LB	+2.67,+251.4,+19.9,IB	+6.65,+20.2,+19.9,MA	+2.49,+266.8,+25.6,MB	+2.20,+283.7,+25.2,BB	+2.34,+275.3,+25.3,KB	
1700674367.170279	+2.59,+255.6,+19.4,OB	+2.67,+251.4,+19.9,IB	+6.65,+20.2,+19.9,MA	+2.48,+267.4,+25.6,AB	+2.20,+283.7,+25.2,BB	+2.33,+275.9,+25.4,AB	
1700674429.1771884	+2.59,+255.6,+19.4,OB	+2.67,+251.4,+19.9,IB	+6.65,+20.2,+19.9,MA	+2.48,+267.1,+25.6,DB	+2.21,+283.1,+25.2,EB	+2.33,+275.8,+25.4,@B	
1700674491.1847777	+2.59,+255.6,+19.4,OB	+2.67,+251.4,+19.9,IB	+6.65,+20.2,+19.9,MA	+2.49,+266.9,+25.5,OB	+2.20,+283.6,+25.2,CB	+2.33,+275.8,+25.4,@B	
1700674553.193517	+2.59,+255.6,+19.4,OB	+2.67,+251.4,+19.9,IB	+6.65,+20.2,+19.9,MA	+2.50,+266.2,+25.6,OB	+2.20,+283.7,+25.2,BB	+2.34,+275.2,+25.4,MB	
1700674615.2038007	+2.59,+255.6,+19.4,OB	+2.67,+251.4,+19.9,IB	+6.65,+20.2,+19.9,MA	+2.50,+266.2,+25.6,OB	+2.21,+282.8,+25.2,MB	+2.34,+275.3,+25.4,LB	
1700674677.2122564	+2.59,+255.5,+19.4,LB	+2.67,+251.4,+19.9,IB	+6.65,+20.3,+19.9,LA	+2.51,+265.6,+25.6,IB	+2.20,+283.4,+25.2,AB	+2.35,+274.8,+25.3,@B	
1700674922.7497962	+2.59,+255.6,+19.4,OB	+2.67,+251.5,+19.9,HB	+6.65,+20.2,+19.9,MA	+2.50,+265.9,+25.5,DB	+2.21,+283.2,+25.2,FB	+2.33,+276.0,+25.4,KB	
1700674984.7592652	+2.59,+255.6,+19.4,OB	+2.67,+251.5,+19.9,HB	+6.65,+20.2,+19.9,MA	+2.51,+265.8,+25.6,GB	+2.21,+282.9,+25.2,LB	+2.33,+275.9,+25.4,AB	
