62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1700285322.129815	+3.03,+229.7,+19.3,LB	+3.02,+231.1,+19.8,IB	+2.82,+242.6,+19.9,BB	+2.62,+259.2,+25.6,BB	+2.54,+263.4,+25.2,LB	+2.49,+266.8,+25.4,OB	
1700285384.1372116	+3.03,+229.7,+19.3,LB	+3.02,+231.2,+19.8,JB	+2.82,+242.6,+19.9,BB	+2.62,+259.2,+25.6,BB	+2.54,+263.5,+25.2,MB	+2.49,+266.8,+25.4,OB	
1700285446.143906	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.82,+242.7,+19.9,CB	+2.60,+260.2,+25.6,JB	+2.54,+263.7,+25.2,OB	+2.46,+268.1,+25.4,GB	
1700285508.155668	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.82,+242.6,+19.9,BB	+2.61,+259.9,+25.5,IB	+2.53,+263.8,+25.2,GB	+2.46,+268.1,+25.4,GB	
1700285570.16482	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.82,+242.6,+19.9,BB	+2.61,+259.9,+25.6,JB	+2.54,+263.3,+25.2,KB	+2.49,+266.4,+25.4,CB	
1700285632.1735373	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.82,+242.7,+19.9,CB	+2.60,+260.2,+25.6,JB	+2.55,+263.2,+25.2,KB	+2.49,+266.5,+25.4,BB	
1700285694.183029	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.82,+242.7,+19.9,CB	+2.62,+259.3,+25.6,CB	+2.54,+263.7,+25.2,OB	+2.48,+266.9,+25.4,OB	
1700285756.1921315	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.82,+242.7,+19.9,CB	+2.60,+260.3,+25.6,KB	+2.54,+263.5,+25.2,MB	+2.47,+268.0,+25.4,GB	
1700285818.2012708	+3.03,+229.6,+19.3,MB	+3.01,+231.2,+19.8,IB	+2.82,+242.7,+19.9,CB	+2.60,+260.2,+25.6,JB	+2.54,+263.3,+25.2,KB	+2.50,+266.3,+25.4,LB	
1700285880.2097354	+3.03,+229.8,+19.3,CB	+3.01,+231.2,+19.8,IB	+2.82,+242.7,+19.9,CB	+2.60,+260.0,+25.6,HB	+2.54,+263.3,+25.2,KB	+2.49,+266.4,+25.4,CB	
1700285942.2151065	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.82,+242.7,+19.9,CB	+2.61,+259.4,+25.6,GB	+2.53,+263.8,+25.2,GB	+2.49,+266.9,+25.4,NB	
1700286004.2258558	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.82,+242.8,+19.9,LB	+2.61,+259.3,+25.5,CB	+2.53,+264.0,+25.2,HB	+2.48,+267.4,+25.4,CB	
1700286066.232682	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.81,+242.8,+19.9,OB	+2.62,+259.2,+25.5,AB	+2.53,+264.0,+25.2,HB	+2.47,+267.6,+25.4,NB	
1700286128.2420912	+3.03,+229.7,+19.3,LB	+3.02,+231.1,+19.8,IB	+2.82,+242.8,+19.9,LB	+2.62,+259.3,+25.5,@B	+2.53,+264.1,+25.2,IB	+2.48,+267.2,+25.4,EB	
1700286190.2521622	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.82,+242.8,+19.9,LB	+2.60,+259.9,+25.5,HB	+2.53,+263.8,+25.2,GB	+2.49,+266.7,+25.4,@B	
1700286252.2593715	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.82,+242.8,+19.9,LB	+2.61,+259.6,+25.6,EB	+2.53,+264.1,+25.2,IB	+2.48,+267.2,+25.4,EB	
1700286314.2692914	+3.03,+229.7,+19.3,LB	+3.02,+231.2,+19.8,JB	+2.81,+242.8,+19.9,OB	+2.59,+260.9,+25.6,KB	+2.54,+263.2,+25.2,JB	+2.47,+267.7,+25.4,OB	
1700286376.2789385	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.82,+242.8,+19.9,LB	+2.60,+260.5,+25.6,MB	+2.54,+263.2,+25.2,JB	+2.46,+268.1,+25.4,GB	
1700286438.2898386	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.81,+242.9,+19.9,NB	+2.60,+260.0,+25.6,HB	+2.54,+263.6,+25.2,NB	+2.46,+268.4,+25.4,BB	
1700286500.2988443	+3.03,+229.7,+19.3,LB	+3.02,+231.1,+19.8,IB	+2.81,+242.9,+19.9,NB	+2.61,+259.6,+25.5,FB	+2.53,+264.0,+25.2,HB	+2.48,+267.5,+25.4,BB	
1700286562.3076103	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.81,+242.9,+19.9,NB	+2.60,+260.0,+25.6,HB	+2.53,+264.1,+25.2,IB	+2.48,+267.1,+25.4,FB	
1700286624.3184376	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.81,+242.9,+19.9,NB	+2.59,+261.0,+25.6,CB	+2.54,+263.6,+25.2,NB	+2.48,+267.1,+25.3,AB	
1700286869.8992937	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.81,+242.9,+19.9,NB	+2.59,+260.6,+25.6,DB	+2.54,+263.4,+25.2,LB	+2.47,+267.6,+25.4,NB	
1700286931.910248	+3.03,+229.8,+19.3,CB	+3.01,+231.2,+19.8,IB	+2.81,+242.9,+19.9,NB	+2.61,+259.8,+25.5,HB	+2.54,+263.5,+25.2,MB	+2.46,+268.3,+25.3,BB	
1700286993.9202778	+3.03,+229.8,+19.3,CB	+3.02,+231.2,+19.8,JB	+2.81,+242.9,+19.9,NB	+2.59,+260.6,+25.6,DB	+2.54,+263.3,+25.2,KB	+2.47,+267.9,+25.4,AB	
1700287055.9283316	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.81,+242.9,+19.9,NB	+2.61,+259.7,+25.5,GB	+2.54,+263.7,+25.2,OB	+2.47,+267.9,+25.4,AB	
1700287117.9379625	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.81,+242.9,+19.9,NB	+2.61,+259.8,+25.6,KB	+2.54,+263.5,+25.2,MB	+2.47,+267.8,+25.4,@B	
1700287179.9460156	+3.03,+229.8,+19.3,CB	+3.01,+231.2,+19.8,IB	+2.81,+242.9,+19.9,NB	+2.59,+260.8,+25.6,JB	+2.54,+263.4,+25.2,LB	+2.47,+267.6,+25.4,NB	
1700287241.9556181	+3.03,+229.7,+19.3,LB	+3.01,+231.2,+19.8,IB	+2.81,+242.9,+19.9,NB	+2.61,+259.8,+25.6,KB	+2.54,+263.6,+25.2,NB	+2.48,+267.3,+25.4,DB	
1700287303.9644375	+3.03,+229.8,+19.3,CB	+3.01,+231.2,+19.8,IB	+2.81,+242.9,+19.9,NB	+2.60,+260.0,+25.5,KB	+2.54,+263.7,+25.2,OB	+2.48,+267.3,+25.4,DB	
1700287365.9724224	+3.04,+229.6,+19.4,MB	+3.01,+231.2,+19.8,IB	+2.81,+243.0,+19.9,FB	+2.59,+260.8,+25.5,IB	+2.54,+263.6,+25.2,NB	+2.48,+267.1,+25.4,FB	
1700287427.9833424	+3.03,+229.7,+19.4,KB	+3.02,+231.2,+19.8,JB	+2.81,+242.9,+19.9,NB	+2.60,+260.4,+25.6,LB	+2.54,+263.5,+25.2,MB	+2.47,+267.6,+25.4,NB	
1700287489.993771	+3.03,+229.7,+19.3,LB	+3.02,+231.2,+19.8,JB	+2.81,+243.0,+19.9,FB	+2.61,+259.9,+25.6,JB	+2.53,+263.8,+25.2,GB	+2.48,+267.2,+25.3,BB	
1700287552.004057	+3.03,+229.7,+19.4,KB	+3.01,+231.2,+19.8,IB	+2.81,+243.0,+19.9,FB	+2.61,+259.5,+25.6,FB	+2.54,+263.3,+25.2,KB	+2.46,+268.1,+25.4,GB	
1700287614.0128608	+3.03,+229.7,+19.3,LB	+3.02,+231.2,+19.8,JB	+2.81,+243.0,+19.9,FB	+2.61,+259.8,+25.6,KB	+2.54,+263.4,+25.2,LB	+2.47,+268.0,+25.4,GB	
1700287676.0217202	+3.03,+229.8,+19.3,CB	+3.01,+231.2,+19.8,IB	+2.81,+243.0,+19.9,FB	+2.61,+259.7,+25.5,GB	+2.54,+263.4,+25.2,LB	+2.46,+268.2,+25.4,DB	
1700287738.031231	+3.03,+229.8,+19.3,CB	+3.02,+231.2,+19.8,JB	+2.81,+243.0,+19.9,FB	+2.59,+260.8,+25.5,IB	+2.53,+264.1,+25.2,IB	+2.49,+266.5,+25.4,BB	
