62309060476	62309060477	62309060478	62309060479	62309060481	62309060482	
1699766946.932271	+2.96,+222.9,+21.7,KB	+2.96,+228.5,+21.8,BB	+2.95,+229.4,+21.7,NB	+2.88,+233.6,+20.2,OB	+2.54,+253.1,+20.9,DB	+2.90,+232.0,+20.1,BB	
1699767008.9415677	+2.96,+223.0,+21.7,CB	+2.96,+228.5,+21.8,BB	+2.95,+229.3,+21.7,IB	+2.87,+233.7,+20.2,AB	+2.54,+253.4,+20.9,AB	+2.90,+232.0,+20.2,AB	
1699767070.9519808	+2.96,+223.0,+21.7,CB	+2.96,+228.5,+21.8,BB	+2.95,+229.3,+21.7,IB	+2.87,+233.7,+20.2,AB	+2.55,+252.9,+20.9,LB	+2.90,+231.9,+20.2,KB	
1699767132.9614878	+2.96,+222.9,+21.7,KB	+2.96,+228.5,+21.7,MB	+2.95,+229.3,+21.7,IB	+2.87,+233.8,+20.2,NB	+2.54,+253.4,+20.9,AB	+2.90,+232.0,+20.1,BB	
1699767194.9747398	+2.96,+223.0,+21.7,CB	+2.96,+228.5,+21.8,BB	+2.95,+229.4,+21.7,NB	+2.87,+233.8,+20.2,NB	+2.53,+253.7,+20.9,EB	+2.90,+232.0,+20.1,BB	
1699767256.985143	+2.96,+223.0,+21.7,CB	+2.96,+228.5,+21.8,BB	+2.95,+229.3,+21.7,IB	+2.87,+233.8,+20.2,NB	+2.52,+254.4,+20.9,@B	+2.90,+231.9,+20.1,HB	
1699767318.9940183	+2.96,+222.9,+21.7,KB	+2.96,+228.5,+21.8,BB	+2.95,+229.3,+21.8,FB	+2.87,+233.8,+20.2,NB	+2.51,+255.1,+20.9,GB	+2.90,+232.1,+20.1,CB	
1699767381.0036845	+2.96,+223.0,+21.7,CB	+2.96,+228.5,+21.8,BB	+2.95,+229.4,+21.7,NB	+2.87,+233.8,+20.2,NB	+2.50,+255.6,+20.9,AB	+2.90,+232.0,+20.2,AB	
1699767443.0132518	+2.96,+223.0,+21.7,CB	+2.96,+228.5,+21.7,MB	+2.95,+229.4,+21.7,NB	+2.87,+233.9,+20.2,OB	+2.50,+255.9,+21.0,FB	+2.90,+231.9,+20.2,KB	
1699767505.0248785	+2.96,+223.0,+21.7,CB	+2.96,+228.5,+21.7,MB	+2.95,+229.3,+21.8,FB	+2.87,+233.8,+20.2,NB	+2.49,+256.3,+20.9,OB	+2.90,+232.0,+20.1,BB	
1699767567.0339875	+2.96,+223.0,+21.7,CB	+2.96,+228.5,+21.8,BB	+2.95,+229.3,+21.8,FB	+2.87,+233.9,+20.2,OB	+2.51,+255.2,+20.9,DB	+2.90,+232.0,+20.2,AB	
1699767629.0443137	+2.96,+223.0,+21.7,CB	+2.96,+228.5,+21.8,BB	+2.95,+229.3,+21.8,FB	+2.87,+233.9,+20.2,OB	+2.50,+255.4,+21.0,KB	+2.90,+231.9,+20.2,KB	
