62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1700375015.9775565	244.225	228.164	228.909	95.322	131.583	129.635	
1700378858.117875	242.918	227.035	228.050	94.852	130.923	128.922	
1700382700.242517	241.434	225.662	226.962	94.213	130.320	128.306	
1700386542.3197172	239.958	224.285	225.938	93.734	129.747	127.323	
1700390384.4195285	238.481	222.931	224.891	93.160	128.951	126.851	
1700394226.5019703	237.063	221.566	223.858	92.723	128.318	126.088	
1700398068.6247919	235.445	220.061	222.716	92.006	127.621	125.369	
1700401910.7203581	233.857	218.591	221.567	91.511	126.848	124.784	
1700405752.8191202	232.465	217.210	220.509	91.125	126.282	124.165	
1700409594.8751287	231.143	215.965	219.459	90.594	125.610	123.521	
1700413437.0102034	230.088	214.904	218.719	90.153	125.166	122.956	
