62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1700846951.008785	+2.50,+261.4,+20.0,MB	+2.52,+260.5,+20.5,JB	+6.58,+24.6,+20.5,EA	+2.38,+273.0,+25.6,GB	+2.18,+285.0,+25.2,HB	+2.29,+278.2,+25.4,LB	
1700847013.018189	+2.50,+261.4,+20.0,MB	+2.52,+260.6,+20.4,HB	+6.58,+24.6,+20.5,EA	+2.39,+272.6,+25.6,AB	+2.17,+285.2,+25.2,EB	+2.28,+279.0,+25.3,IB	
1700847075.0264943	+2.50,+261.4,+20.0,MB	+2.52,+260.5,+20.4,KB	+6.58,+24.6,+20.5,EA	+2.41,+271.7,+25.6,LB	+2.18,+284.6,+25.2,OB	+2.29,+278.1,+25.4,OB	
1700847137.0360975	+2.50,+261.4,+20.0,MB	+2.52,+260.5,+20.4,KB	+6.58,+24.6,+20.5,EA	+2.41,+271.5,+25.6,NB	+2.19,+284.3,+25.2,KB	+2.31,+277.5,+25.3,JB	
1700847199.0449848	+2.50,+261.4,+20.0,MB	+2.52,+260.5,+20.5,JB	+6.58,+24.6,+20.5,EA	+2.41,+271.5,+25.6,NB	+2.18,+284.9,+25.2,@B	+2.29,+278.4,+25.4,JB	
1700847261.053301	+2.50,+261.5,+20.0,LB	+2.52,+260.5,+20.4,KB	+6.58,+24.7,+20.6,GA	+2.39,+272.4,+25.6,CB	+2.17,+285.2,+25.2,EB	+2.29,+278.5,+25.4,KB	
1700847323.0604298	+2.50,+261.4,+20.0,MB	+2.52,+260.5,+20.4,KB	+6.58,+24.6,+20.6,FA	+2.39,+272.7,+25.6,@B	+2.17,+285.1,+25.2,FB	+2.29,+278.4,+25.4,JB	
1700847385.0688977	+2.50,+261.5,+20.0,LB	+2.52,+260.5,+20.5,JB	+6.58,+24.6,+20.5,EA	+2.41,+271.6,+25.6,MB	+2.19,+284.4,+25.2,LB	+2.31,+277.4,+25.3,KB	
1700847447.0758414	+2.50,+261.5,+20.0,LB	+2.52,+260.5,+20.5,JB	+6.58,+24.6,+20.6,FA	+2.39,+272.5,+25.5,AB	+2.17,+285.1,+25.2,FB	+2.30,+278.1,+25.4,GB	
1700847509.0860093	+2.50,+261.4,+20.0,MB	+2.52,+260.5,+20.4,KB	+6.58,+24.6,+20.6,FA	+2.39,+272.4,+25.6,CB	+2.18,+284.7,+25.2,NB	+2.32,+276.8,+25.4,BB	
1700847571.0951047	+2.50,+261.5,+20.0,LB	+2.52,+260.5,+20.5,JB	+6.58,+24.6,+20.6,FA	+2.41,+271.7,+25.5,OB	+2.19,+284.4,+25.2,LB	+2.32,+276.5,+25.3,HB	
