62309060476	62309060477	62309060478	62309060479	62309060481	62309060482	
1700717372.811859	+6.54,+16.3,+21.4,MA	+6.42,+27.8,+21.4,CA	+6.52,+23.8,+21.4,FA	+6.83,+7.2,+19.9,@B	+2.28,+268.2,+20.6,KB	+6.89,+4.5,+19.7,@B	
1700717434.823171	+6.54,+16.3,+21.4,MA	+6.43,+27.7,+21.3,JA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.9,CB	+2.27,+268.4,+20.6,BB	+6.89,+4.4,+19.7,AB	
1700717496.8331919	+6.54,+16.3,+21.4,MA	+6.43,+27.8,+21.3,EA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.9,CB	+2.27,+268.3,+20.6,EB	+6.89,+4.4,+19.7,AB	
1700717558.8407307	+6.54,+16.3,+21.4,MA	+6.43,+27.8,+21.4,BA	+6.52,+23.9,+21.4,GA	+6.83,+7.1,+19.9,CB	+2.28,+268.1,+20.7,IB	+6.89,+4.4,+19.7,AB	
1700717620.8506556	+6.54,+16.3,+21.4,MA	+6.42,+27.8,+21.3,DA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.9,CB	+2.28,+268.0,+20.6,IB	+6.89,+4.5,+19.7,@B	
1700717682.8587499	+6.54,+16.3,+21.4,MA	+6.42,+27.8,+21.3,DA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.9,CB	+2.28,+267.9,+20.6,OB	+6.89,+4.4,+19.7,AB	
1700717744.8688328	+6.54,+16.3,+21.4,MA	+6.43,+27.8,+21.3,EA	+6.52,+23.9,+21.4,GA	+6.83,+7.2,+19.9,@B	+2.28,+268.1,+20.6,HB	+6.89,+4.5,+19.7,@B	
1700717806.8765867	+6.54,+16.3,+21.4,MA	+6.43,+27.8,+21.3,EA	+6.52,+23.8,+21.4,FA	+6.83,+7.2,+19.8,AB	+2.28,+267.9,+20.6,OB	+6.89,+4.4,+19.7,AB	
1700717868.885037	+6.54,+16.3,+21.4,MA	+6.43,+27.7,+21.3,JA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.9,CB	+2.29,+267.6,+20.6,AB	+6.89,+4.5,+19.7,@B	
1700717930.8930485	+6.54,+16.3,+21.4,MA	+6.43,+27.8,+21.3,EA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.9,CB	+2.29,+267.5,+20.6,BB	+6.89,+4.4,+19.7,AB	
1700717992.8996196	+6.54,+16.3,+21.4,MA	+6.42,+27.8,+21.4,CA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.9,CB	+2.28,+268.0,+20.6,IB	+6.89,+4.4,+19.7,AB	
1700718054.9079452	+6.54,+16.3,+21.4,MA	+6.42,+27.8,+21.3,DA	+6.52,+23.9,+21.4,GA	+6.83,+7.2,+19.9,@B	+2.28,+267.9,+20.6,OB	+6.89,+4.5,+19.7,@B	
1700718116.9150934	+6.54,+16.3,+21.4,MA	+6.42,+27.8,+21.3,DA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.8,BB	+2.28,+268.1,+20.6,HB	+6.89,+4.4,+19.7,AB	
1700718178.9223511	+6.54,+16.3,+21.4,MA	+6.43,+27.7,+21.3,JA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.8,BB	+2.28,+268.2,+20.6,KB	+6.89,+4.4,+19.7,AB	
1700718240.9277558	+6.54,+16.3,+21.4,MA	+6.43,+27.8,+21.3,EA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.8,BB	+2.27,+268.3,+20.6,EB	+6.89,+4.5,+19.7,@B	
1700718302.9375963	+6.54,+16.3,+21.4,MA	+6.43,+27.8,+21.3,EA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.8,BB	+2.28,+267.9,+20.6,OB	+6.89,+4.5,+19.7,@B	
1700718364.9468656	+6.54,+16.3,+21.4,MA	+6.42,+27.8,+21.3,DA	+6.52,+23.9,+21.4,GA	+6.83,+7.1,+19.8,BB	+2.28,+267.9,+20.6,OB	+6.89,+4.5,+19.7,@B	
1700718426.9576995	+6.54,+16.3,+21.4,MA	+6.42,+27.8,+21.3,DA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.8,BB	+2.28,+267.8,+20.6,NB	+6.89,+4.4,+19.7,AB	
1700718488.967121	+6.54,+16.3,+21.4,MA	+6.43,+27.8,+21.3,EA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.8,BB	+2.28,+268.0,+20.6,IB	+6.89,+4.4,+19.7,AB	
1700718550.9770534	+6.54,+16.3,+21.4,MA	+6.43,+27.7,+21.3,JA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.8,BB	+2.36,+263.4,+20.6,IB	+6.89,+4.4,+19.7,AB	
1700718612.9864192	+6.54,+16.3,+21.4,MA	+6.43,+27.7,+21.3,JA	+6.52,+23.8,+21.4,FA	+6.83,+7.1,+19.8,BB	+2.37,+262.9,+20.6,DB	+6.89,+4.4,+19.7,AB	
