62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1701452016.7791073	+6.65,+20.4,+19.4,FA	+2.34,+270.6,+20.1,LB	+6.45,+32.0,+19.8,OA	+2.22,+282.8,+25.6,JB	+2.13,+287.7,+25.2,FB	+2.17,+285.5,+25.4,DB	
1701452078.7873106	+6.65,+20.4,+19.4,FA	+2.34,+270.6,+20.1,LB	+6.45,+32.0,+19.8,OA	+2.24,+281.6,+25.6,AB	+2.14,+286.9,+25.2,NB	+2.15,+286.9,+25.4,IB	
1701452140.7953176	+6.65,+20.4,+19.4,FA	+2.34,+270.5,+20.1,OB	+6.45,+32.0,+19.8,OA	+2.23,+282.3,+25.6,@B	+2.14,+287.3,+25.2,EB	+2.16,+285.8,+25.4,HB	
1701452202.8020828	+6.65,+20.4,+19.4,FA	+2.34,+270.6,+20.1,LB	+6.45,+32.0,+19.8,OA	+2.24,+281.7,+25.6,@B	+2.14,+287.2,+25.2,DB	+2.14,+287.1,+25.4,AB	
1701452264.809542	+6.65,+20.4,+19.4,FA	+2.34,+270.6,+20.1,LB	+6.45,+31.9,+19.8,EA	+2.23,+281.9,+25.5,JB	+2.14,+287.0,+25.2,FB	+2.15,+286.5,+25.4,EB	
1701452326.8183177	+6.65,+20.4,+19.4,FA	+2.34,+270.5,+20.1,OB	+6.45,+32.0,+19.8,OA	+2.23,+281.9,+25.6,IB	+2.14,+287.2,+25.2,DB	+2.14,+287.0,+25.4,@B	
1701452388.8267145	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.1,OB	+6.45,+32.0,+19.8,OA	+2.24,+281.7,+25.6,@B	+2.14,+287.0,+25.2,FB	+2.14,+287.0,+25.4,@B	
1701452450.8379886	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.1,OB	+6.45,+31.9,+19.8,EA	+2.22,+282.6,+25.5,GB	+2.14,+287.2,+25.2,DB	+2.16,+285.8,+25.4,HB	
1701452512.8476317	+6.65,+20.5,+19.4,GA	+2.34,+270.5,+20.1,OB	+6.45,+32.0,+19.8,OA	+2.22,+282.4,+25.5,EB	+2.13,+287.7,+25.2,FB	+2.16,+286.3,+25.4,@B	
1701452574.8557656	+6.65,+20.4,+19.4,FA	+2.34,+270.5,+20.1,OB	+6.45,+32.0,+19.8,OA	+2.22,+282.5,+25.6,GB	+2.13,+287.7,+25.2,FB	+2.16,+286.1,+25.4,BB	
1701452636.8624296	+6.65,+20.4,+19.4,FA	+2.34,+270.6,+20.1,LB	+6.45,+31.9,+19.8,EA	+2.22,+282.7,+25.5,FB	+2.14,+287.1,+25.2,GB	+2.17,+285.8,+25.4,IB	
1701452698.872576	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.1,OB	+6.45,+31.9,+19.8,EA	+2.24,+281.7,+25.5,CB	+2.14,+287.1,+25.2,GB	+2.14,+287.0,+25.4,@B	
1701452760.8802125	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.1,OB	+6.45,+31.9,+19.8,EA	+2.22,+282.9,+25.6,KB	+2.14,+287.3,+25.2,EB	+2.17,+285.4,+25.4,EB	
1701452822.890259	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.1,OB	+6.45,+31.9,+19.8,EA	+2.24,+281.8,+25.5,LB	+2.14,+287.3,+25.2,EB	+2.15,+286.8,+25.4,HB	
1701452884.8994648	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.1,OB	+6.45,+31.9,+19.8,EA	+2.22,+282.9,+25.6,KB	+2.14,+287.1,+25.2,GB	+2.17,+285.5,+25.4,DB	
1701452946.910933	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.1,OB	+6.45,+32.0,+19.8,OA	+2.24,+281.8,+25.6,OB	+2.13,+287.4,+25.2,EB	+2.15,+286.8,+25.4,HB	
1701453008.9214642	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.1,OB	+6.45,+32.0,+19.8,OA	+2.23,+282.1,+25.6,BB	+2.14,+287.0,+25.2,FB	+2.15,+286.6,+25.4,FB	
1701453070.9307137	+6.65,+20.5,+19.3,@A	+2.34,+270.4,+20.1,NB	+6.45,+31.9,+19.8,EA	+2.23,+282.1,+25.6,BB	+2.14,+287.0,+25.2,FB	+2.15,+286.6,+25.4,FB	
1701453132.9385111	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.1,OB	+6.45,+31.9,+19.8,EA	+2.22,+282.8,+25.6,JB	+2.14,+286.9,+25.2,NB	+2.16,+285.8,+25.4,HB	
1701453194.9478273	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.1,OB	+6.45,+31.9,+19.8,EA	+2.23,+281.8,+25.6,HB	+2.14,+287.2,+25.2,DB	+2.14,+287.1,+25.4,AB	
1701453256.9581785	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.1,OB	+6.45,+31.9,+19.8,EA	+2.22,+282.8,+25.6,JB	+2.15,+286.8,+25.2,NB	+2.16,+286.0,+25.4,CB	
1701453318.967828	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.0,NB	+6.45,+32.0,+19.8,OA	+2.22,+282.8,+25.6,JB	+2.14,+286.8,+25.2,OB	+2.16,+285.9,+25.4,IB	
1701453380.979086	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.1,OB	+6.45,+31.9,+19.8,EA	+2.23,+282.4,+25.6,GB	+2.13,+287.5,+25.2,DB	+2.16,+286.0,+25.4,CB	
1701453442.9880824	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.0,NB	+6.45,+31.9,+19.8,EA	+2.24,+281.7,+25.6,@B	+2.13,+287.4,+25.2,EB	+2.15,+286.9,+25.3,NB	
1701453504.9975922	+6.65,+20.4,+19.3,AA	+2.34,+270.5,+20.0,NB	+6.45,+32.0,+19.8,OA	+2.24,+281.8,+25.6,OB	+2.14,+287.3,+25.2,EB	+2.15,+286.9,+25.4,IB	
1701453567.0051506	+6.65,+20.4,+19.3,AA	+2.34,+270.4,+20.0,OB	+6.45,+32.0,+19.8,OA	+2.24,+281.8,+25.5,LB	+2.13,+287.4,+25.2,EB	+2.15,+286.8,+25.4,HB	
1701453629.0137212	+6.65,+20.4,+19.3,AA	+2.34,+270.4,+20.0,OB	+6.45,+31.9,+19.7,JA	+2.24,+281.8,+25.6,OB	+2.13,+287.5,+25.2,DB	+2.14,+287.0,+25.4,@B	
1701453691.027328	+6.65,+20.5,+19.3,@A	+2.34,+270.4,+20.0,OB	+6.45,+31.9,+19.8,EA	+2.23,+282.3,+25.5,CB	+2.14,+287.0,+25.2,FB	+2.15,+286.6,+25.4,FB	
1701453753.0356114	+6.65,+20.4,+19.3,AA	+2.34,+270.4,+20.0,OB	+6.45,+31.9,+19.8,EA	+2.23,+282.1,+25.6,BB	+2.14,+287.3,+25.2,EB	+2.16,+286.1,+25.4,BB	
1701453815.0438583	+6.65,+20.4,+19.3,AA	+2.34,+270.4,+20.0,OB	+6.45,+31.9,+19.8,EA	+2.23,+281.8,+25.6,HB	+2.13,+287.5,+25.2,DB	+2.14,+287.1,+25.4,AB	
1701453877.0524824	+6.65,+20.4,+19.3,AA	+2.34,+270.4,+20.0,OB	+6.45,+32.0,+19.8,OA	+2.24,+281.8,+25.6,OB	+2.13,+287.5,+25.2,DB	+2.15,+286.6,+25.4,FB	
1701453939.0603974	+6.65,+20.4,+19.3,AA	+2.34,+270.4,+20.0,OB	+6.45,+31.9,+19.8,EA	+2.23,+282.2,+25.6,AB	+2.14,+287.2,+25.2,DB	+2.15,+286.9,+25.3,NB	
1701454001.0693	+6.65,+20.4,+19.3,AA	+2.34,+270.4,+20.0,OB	+6.45,+31.9,+19.7,JA	+2.23,+281.9,+25.6,IB	+2.13,+287.4,+25.2,EB	+2.14,+287.0,+25.4,@B	
1701454063.078753	+6.65,+20.4,+19.3,AA	+2.34,+270.4,+20.0,OB	+6.45,+31.9,+19.8,EA	+2.23,+282.2,+25.5,BB	+2.14,+287.1,+25.2,GB	+2.16,+285.8,+25.4,HB	
1701454125.0844524	+6.65,+20.4,+19.3,AA	+2.34,+270.4,+20.0,OB	+6.45,+32.0,+19.8,OA	+2.23,+282.0,+25.5,@B	+2.14,+287.1,+25.2,GB	+2.16,+286.1,+25.4,BB	
1701454187.0928323	+6.65,+20.5,+19.3,@A	+2.34,+270.4,+20.0,OB	+6.45,+31.9,+19.8,EA	+2.22,+282.9,+25.6,KB	+2.15,+286.8,+25.2,NB	+2.16,+286.0,+25.3,DB	
1701454249.100696	+6.65,+20.4,+19.3,AA	+2.34,+270.4,+20.0,OB	+6.45,+31.9,+19.7,JA	+2.22,+282.8,+25.6,JB	+2.14,+286.8,+25.2,OB	+2.16,+286.1,+25.4,BB	
1701454311.1107662	+6.65,+20.3,+19.3,FA	+2.34,+270.4,+20.0,OB	+6.45,+31.9,+19.7,JA	+2.22,+282.9,+25.5,HB	+2.15,+286.6,+25.2,@B	+2.17,+285.5,+25.4,DB	
1701454373.1190276	+6.65,+20.4,+19.3,AA	+2.34,+270.4,+20.0,OB	+6.45,+31.9,+19.8,EA	+2.24,+281.8,+25.6,OB	+2.14,+287.2,+25.2,DB	+2.16,+286.3,+25.3,GB	
1701454435.1277857	+6.65,+20.4,+19.3,AA	+2.34,+270.4,+20.0,OB	+6.45,+31.9,+19.8,EA	+2.22,+283.0,+25.5,@B	+2.15,+286.7,+25.2,AB	+2.17,+285.4,+25.4,EB	
1701454497.134921	+6.65,+20.4,+19.3,AA	+2.34,+270.3,+20.0,HB	+6.45,+31.9,+19.8,EA	+2.22,+283.0,+25.5,@B	+2.14,+286.9,+25.2,NB	+2.16,+285.8,+25.4,HB	
1701454559.1438093	+6.65,+20.4,+19.3,AA	+2.34,+270.3,+20.0,HB	+6.45,+31.9,+19.8,EA	+2.24,+281.7,+25.6,@B	+2.14,+287.2,+25.2,DB	+2.15,+286.5,+25.4,EB	
1701454621.1502743	+6.65,+20.4,+19.3,AA	+2.34,+270.3,+20.0,HB	+6.45,+31.9,+19.7,JA	+2.22,+283.0,+25.6,CB	+2.15,+286.6,+25.2,@B	+2.17,+285.5,+25.4,DB	
1701454866.7398484	+6.65,+20.4,+19.3,AA	+2.34,+270.3,+20.0,HB	+6.45,+31.9,+19.8,EA	+2.21,+283.0,+25.5,CB	+2.14,+286.8,+25.2,OB	+2.15,+286.4,+25.4,DB	
1701454928.7496412	+6.65,+20.4,+19.3,AA	+2.34,+270.3,+20.0,HB	+6.45,+31.9,+19.8,EA	+2.24,+281.7,+25.5,CB	+2.14,+286.8,+25.2,OB	+2.16,+285.8,+25.4,HB	
1701454990.759778	+6.65,+20.4,+19.3,AA	+2.34,+270.4,+20.0,OB	+6.45,+31.9,+19.8,EA	+2.24,+281.8,+25.5,LB	+2.15,+286.7,+25.2,AB	+2.17,+285.5,+25.4,DB	
1701455052.7720604	+6.65,+20.3,+19.3,FA	+2.34,+270.3,+20.0,HB	+6.45,+31.9,+19.8,EA	+2.24,+281.8,+25.6,OB	+2.14,+287.1,+25.2,GB	+2.16,+286.3,+25.4,@B	
