62309060476	62309060477	62309060478	62309060479	62309060481	62309060482	
1699898713.1239092	0.000	0.000	121.702	95.448	248.091	122.796	
1699902555.2061977	0.000	0.000	120.844	94.918	247.542	122.193	
1699906397.3553605	0.000	0.000	120.123	94.453	247.179	121.710	
1699910239.4725258	0.000	0.000	119.524	94.159	247.204	121.419	
1699914081.4795141	0.000	0.000	119.109	94.041	247.648	121.457	
1699917923.5873518	0.000	0.000	118.814	93.967	248.217	121.506	
1699921765.6934557	0.000	0.000	118.741	94.091	249.301	121.792	
1699925607.7882414	0.000	0.000	118.181	93.775	249.306	121.419	
1699929449.9571302	0.000	0.000	117.270	93.094	248.361	120.461	
1699933292.0505323	0.000	0.000	115.874	91.960	246.277	118.949	
1699937134.1355052	0.000	0.000	114.625	90.982	244.626	117.843	
