62309060419	62309060427	62309060471	62309060472	62309060473	62309060475	
1699767960.0954876	322.757	307.460	299.344	118.990	159.454	158.428	
1699771802.2479227	321.865	306.601	298.469	118.439	159.064	158.004	
1699775644.4058566	321.079	305.809	297.593	118.140	158.600	157.745	
1699779486.5816214	321.055	305.560	297.373	118.314	158.658	157.923	
1699783328.6283095	321.594	305.959	297.773	118.547	158.895	158.306	
1699787170.7478724	321.769	305.999	297.861	118.645	158.963	158.424	
1699791012.8762352	321.453	305.640	297.470	118.424	158.803	158.066	
1699794855.0556717	320.666	304.937	296.677	118.068	158.534	157.478	
1699798697.1965547	319.718	304.149	295.865	117.614	158.000	157.041	
1699802539.3341172	318.450	303.037	294.534	117.056	157.340	156.278	
1699806381.408426	317.319	301.986	293.440	116.435	156.785	155.689	
